"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Cleland_Fanny-Hill_1748" "m_Klinger_Faust_1791" "m_Paul_Loge_1793" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Scott_Ivanhoe_1819" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wezel_Belphegor_1776" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"damit" 0.055591316051261 0.0341408383802399 0.0455477112275108 0.0452089298400465 0.0325006964434952 0.0621494383244511 0.0943966921271829 0.0637516184367052 0.0425664171238615 0.0492752287398658 0.0451030927835052 0.0497861458734074 0.0378398832369317 0.0384343076767472 0.0174034110685694
"obgleich" 0.0263327286558605 0.00371096069350433 0 0.0355213020171794 0.00464295663478503 0.00310747191622256 0.00797718525018447 0.00131446635951969 0.0337828707332234 0.00354498048488243 0.0118127147766323 0.00452601326121886 0 0.0161828663902094 0.00535489571340598
"wiewohl" 0 0.000742192138700867 0 0.00215280618285936 0 0 0.00864195068769985 0 0.00202697224399341 0.000708996096976486 0.00536941580756014 0.00452601326121886 0.0180189920175865 0.0262971578840902 0.0013387239283515
"leser" 0 0.0044531528322052 0 0.0204516587371639 0 0.00466120787433384 0.0764480253142679 0.00197169953927954 0.00878354639063809 0.00531747072732365 0.00751718213058419 0.00226300663060943 0 0.00809143319510468 0.0013387239283515
"davon" 0.0468137398326409 0.0608597553734711 0.0506085680305676 0.0344448989257497 0.00464295663478503 0.0528270225757835 0.0265906175006149 0.0460063225831893 0.0324315559038945 0.0436032599640539 0.0644329896907216 0.07920523207133 0.0756797664738635 0.0930514817437039 0.0254357546386784
"wollt" 0.00292585873954005 0.00371096069350433 0 0 0 0.0124298876648902 0.0312439755632225 0.0144591299547166 0.0141888057079538 0.00177249024244122 0.00429553264604811 0.0113150331530471 0.00180189920175865 0 0.00535489571340598
"gesagt" 0.0672947510094213 0.0185548034675217 0.00506085680305676 0.00968762782286711 0.0139288699043551 0.00776867979055639 0.0199429631254612 0.0650660847962248 0.0202697224399341 0.0113439375516238 0.00859106529209622 0.0203670596754848 0.0270284880263798 0.00809143319510468 0.0307906503520844
"dergleichen" 0 0.00371096069350433 0.00253042840152838 0.00215280618285936 0.00464295663478503 0.00310747191622256 0.0132953087503075 0.0269465603701537 0.00675657414664469 0.013116427794065 0.00751718213058419 0 0.00720759680703461 0.0161828663902094 0.0013387239283515
"herren" 0.0234068699163204 0.0126172663579147 0.0607302816366811 0.030139286560031 0.00928591326957006 0.0341821910784481 0.00465335806260761 0.0223459281118348 0.0270262965865787 0.0269418516851065 0.0171821305841924 0 0.0162170928158279 0 0.00267744785670299
"kurz" 0.0234068699163204 0.0133594584966156 0.00253042840152838 0.0139932401885858 0.0557154796174204 0.00621494383244511 0.033903037313284 0.0111729640559174 0.0135131482932894 0.0205608868123181 0.0343642611683849 0.0271560795673131 0.0306322864298971 0.0101142914938809 0.00535489571340598
"sache" 0.0146292936977003 0.0126172663579147 0.00253042840152838 0.0258336741943123 0.0464295663478503 0.0170910955392241 0.0239315557505534 0.0276037935499136 0.0222966946839275 0.0297778360730124 0.0193298969072165 0.0113150331530471 0.0144151936140692 0.0606857489632851 0.00803234357010897
"gerade" 0.0263327286558605 0.0192969956062225 0.00759128520458514 0.0484381391143355 0.0510725229826353 0.00155373595811128 0.0491926423761376 0.0223459281118348 0.0202697224399341 0.0223333770547593 0.0182560137457045 0.00452601326121886 0.0126132944123106 0.0445028825730758 0.00535489571340598
"sondern" 0.0292585873954006 0.033398646241539 0.0506085680305676 0.0731954102172181 0.0325006964434952 0.00776867979055639 0.184804791629274 0.0381195244260711 0.0479716764411773 0.0329683185094066 0.0526202749140893 0.0452601326121886 0.041443681640449 0.0869829068473753 0.0415004417788964
"oben" 0.00877757621862017 0.00816411352570954 0.0101217136061135 0.00645841854857807 0.0139288699043551 0.00621494383244511 0.028584913813161 0.0157735963142363 0.00810788897597362 0.00531747072732365 0.0128865979381443 0.00452601326121886 0.00180189920175865 0.00809143319510468 0
"kopf" 0.0292585873954006 0.0141016506353165 0.0430172828259824 0.0129168370971561 0.0510725229826353 0.0170910955392241 0.0372268645008609 0.109100707840135 0.0249993243425853 0.0361588009458008 0.0332903780068729 0.0497861458734074 0.0450474800439663 0.00606857489632851 0.0187421349969209
"drei" 0.0614430335303412 0.0274611091319321 0.0151825704091703 0.0548965576629136 0.0325006964434952 0.0233060393716692 0.0704651363766295 0.0315471926284727 0.0371611578065458 0.0326138204609184 0.0332903780068729 0.0294190861979226 0.0162170928158279 0.024274299585314 0.010709791426812
