"m_Crebillon_Schaumloeffel_1735" "m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Diderot_Kleinode_1748" "m_Engel_Lorenz-Stark_1801" "m_Fischer_Christian_Hannchen_1800" "m_Forster_Ansichten_1791" "m_Gellert_Graefin-von-G_1747" "m_Goethe_Lehrjahre_1795" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Heinse_Hildegard_1795" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Hoffmann_Kater-Murr_1820" "m_Hunold_Adalie_1702" "m_Jacobi_Eduard-Allwill_1792" "m_Jacobi_Woldemar_1779" "m_Knigge_Benjamin-Noldmann_1790" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Gil-Blas_1715" "m_Loen_Der-redliche-Mann_1740" "m_Manzoni_Die-Verlobten_1826" "m_Miller_Siegwart_1776" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Mueller_Siegfried_1779" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Novalis_Ofterdingen_1802" "m_Paul_Flegeljahre_1804" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Siebenkaes_1796" "m_Sade_Geschichte-der-Justine_1797" "m_Schiller_Geisterseher_1787" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Stendhal_Rot-und-Schwarz_1830" "m_Swift_Gullivers-Reisen_1726" "m_Tieck_William-Lovell_1795" "m_Voss_Ini_1810" "m_Walpole_Otranto_1764" "m_Wezel_Kakerlak_1784" "w_Ahlefeld_Erna_1820" "w_Ehrmann_Amalie_1787" "w_Fischer_Gustav_1801" "w_Fischer_Margarethe_1812" "w_Fischer_Vierzehn-Tage_1801" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Froelich_Kentucky_1819" "w_Huber_Ellen-Percy_1822" "w_Huber_Klosterberuf_1830" "w_Huber_Luise_1796" "w_La-Roche_Rosaliens-Briefe_1779" "w_Naubert_Alf-von-Duelmen_1790" "w_Schlegel_Florentin_1801" "w_Unger_Albert-und-Albertine_1804"
"herrn" 0.00157383654133682 0.0124587304553666 0.0671218608957297 0.0316931005498064 0.144371757274983 0.0571798879274197 0.0156247430140952 0.0670157068062827 0.0176004389756545 0.0191442519383555 0.035376762520847 0.0296219779885917 0 0.0526581059631544 0.0703635449824091 0.00806289054626083 0 0.073927251299084 0.139677809851942 0.136468468960247 0.099914008435363 0.0566610455311973 0.0357929654219789 0.0341447894275316 0.0120168235529742 0.190985485103132 0.0696744155546083 0.00447017277217764 0.0157603419363787 0.0187076738878288 0.00957525304014284 0.0250575183944965 0.0630798748915815 0.0456105295165284 0 0.123339717248347 0.0796395052269726 0.0323953503144255 0.00170986936598044 0.0543360139100196 0.0913361169102297 0.0232296338652324 0.0102010456071747 0.0201836714098294 0.100203043008201 0.0739590266992086 0.0119195194049776 0.0152243415472281 0.0176669081144109 0.12859415009419 0.0170368635134272 0.0661392485563837 0.0935547158843191 0.0328714725423594 0.0233435087089244 0.0423219138414933
"versetzte" 0.155809817592345 0.00830582030357773 0.048605485476218 0.0950793016494192 0.00225580870742161 0.00381199252849464 0.00164470979095739 0.0167539267015707 0.139250531895619 0.102558492526905 0.0429574973467428 0.0151907579428676 0.0333139002248688 0.00451355193969895 0.00781817166471212 0 0 0.00107140943911716 0.00186237079802589 0.0668695497905209 0.0155603783628844 0.00764474423833614 0.013107283112274 0.0100882332399525 0 0.0169764875647229 0.0213121741696449 0.00894034554435529 0.0977141200055476 0.00374153477756576 0.0292890092992605 0.0113897810884075 0.0183982968433779 0.00434385995395508 0 0.00743757088934754 0.00100809500287307 0.000635202947341676 0.00512960809794132 0.0787872201695284 0.0173973556019485 0.0268034236906528 0 0 0.00791076655327901 0 0.00715171164298655 0.0115994983216976 0 0.00225603772095069 0.00638882381753519 0.0025438172521686 0.000454149106234559 0.00498052614278172 0.00538696354821332 0.00222746914955228
"andere" 0.0550842789467886 0.120434394401877 0.0902673301701192 0.0413388268040953 0.0112790435371081 0.0686158655129036 0.0756566503840397 0.0356020942408377 0.0667781361135125 0.0936700898412395 0.0581189669985344 0.00379768948571689 0.00832847505621721 0.0436310020837565 0.0804154799798961 0.00403144527313042 0.0138461005919208 0.00214281887823432 0.065182977930906 0.0061410811032111 0.105646779411163 0.140753232152895 0.00756189410323498 0.0186244305968354 0.00400560785099139 0.00636618283677107 0.08360929866553 0.0469368141078653 0.0800625370368035 0.115987578104538 0.0760387741423108 0.0660607303127634 0.0315399374457907 0.0499543894704835 0.0033425811411572 0.00619797574112295 0.136092825387865 0.0222321031569586 0.114561247520689 0.0108672027820039 0.0652400835073069 0.0375247931669139 0.0714073192502231 0.0605510142294883 0.0817445877172165 0.0739590266992086 0.0715171164298656 0.112370139991445 0.0159002173029698 0.0157922640466549 0.0383329429052112 0.0279819897738546 0.0099912803371603 0.0508013666563736 0.0287304722571377 0.0512317904397024
"damit" 0.0708226443601568 0.0982855402590032 0.0717509547506076 0.0344490223367461 0.0428603654410106 0.0419319178134411 0.032071840923669 0.0921465968586387 0.0315772581622036 0.0505955229799396 0.0151614696517916 0.0546867285943232 0.041642375281086 0.0850052281976635 0.150779024962305 0.0685345696432171 0.100384229291426 0.0589275191514437 0.0353850451624919 0.0668695497905209 0.126939928749846 0.0768971332209106 0.0236939348568029 0.036472843252136 0.0560785099138794 0.0466853408029879 0.0598380274763107 0.0178806910887106 0.0699759181975212 0.12347064765967 0.0737857734269831 0.0780200004555912 0.0315399374457907 0.0412666695625733 0.0367683925527292 0.0576411743924434 0.0735909352097342 0.0495458298926507 0.054715819711374 0.0353184090415127 0.0652400835073069 0.0125082643889713 0.0450546180983551 0.0302755071147442 0.0580122880573794 0.0443754160195252 0.0238390388099552 0.0500228365123208 0.0441672702860272 0.0315845280933097 0.0170368635134272 0.0407010760346977 0.0440524633047522 0.0428325248279228 0.0395043993535644 0.0378669755423887
"obgleich" 0 0.0456820116696775 0.00925818770975582 0.00137796089346984 0.0112790435371081 0 0.00246706468643608 0.00418848167539267 0.0124238392769326 0.0232465916394317 0.00505382321726386 0.0243052127085881 0 0 0.00111688166638745 0 0.0069230502959604 0.020356779343226 0 0.0709636038593283 0.00245690184677122 0.0184373243395166 0.00352888391484299 0.0131923050060917 0.0120168235529742 0.0169764875647229 0.0327879602609922 0.00223508638608882 0.00882579148437205 0.00748306955513151 0.00788550250364705 0.00626437959862411 0.00262832812048256 0 0.016712905705786 0.0111563563340213 0.0957690252729417 0.00317601473670838 0.00512960809794132 0.0163008041730059 0.00869867780097425 0.0214427389525222 0.00255026140179368 0 0 0 0.0119195194049776 0.0043498118706366 0.00176669081144109 0.0101521697442781 0 0.0101752690086744 0.000454149106234559 0.00996105228556345 0.0251391632249955 0.00445493829910456
"wiewohl" 0.0283290577440627 0.000692151691964811 0 0.00137796089346984 0 0.00762398505698929 0.0115129685367017 0.00209424083769634 0.00310595981923314 0.000683723283512697 0.00252691160863193 0.000759537897143378 0.00832847505621721 0.0173019491021793 0.0178701066621991 0.00403144527313042 0 0 0.0223484495763106 0 0.00737070554031366 0.00089938167509837 0.000504126273548999 0 0 0.0424412189118071 0.000819699006524804 0.00223508638608882 0.0189124103236544 0.00374153477756576 0.0146445046496302 0.000569489054420374 0.00262832812048256 0 0 0.00123959514822459 0 0 0.0119690855618631 0.00543360139100196 0.00434933890048713 0.0178689491271018 0 0 0.0105476887377054 0 0 0 0.00176669081144109 0.00112801886047535 0 0.0025438172521686 0 0 0.00359130903214222 0
"leser" 0.0251813846613891 0.00761366861161292 0 0.00275592178693969 0 0 0.000822354895478693 0.00628272251308901 0.00414127975897752 0.00752095611863966 0.00505382321726386 0.000759537897143378 0 0.0270813116381937 0.00558440833193723 0.0161257810925217 0.0034615251479802 0.0246424170996946 0.0446968991526213 0.0102351351720185 0.00163793456451415 0.0211354693648117 0.001512378820647 0 0.0200280392549569 0.0912486206603854 0.0286894652283681 0.0111754319304441 0.00945620516182719 0.00748306955513151 0.0309787598357562 0.0130982482516686 0.00262832812048256 0.076017549194214 0 0.00123959514822459 0.0635099851810035 0.000635202947341676 0.00170986936598044 0.0190176048685068 0.00869867780097425 0 0.00510052280358737 0 0 0 0 0 0.00176669081144109 0.00225603772095069 0.0021296079391784 0.0101752690086744 0.000908298212469118 0.00398442091422538 0 0.00222746914955228
"davon" 0.0739703174428304 0.0872111131875662 0.0624927670408518 0.0592523184192033 0.0631626438078051 0.0266839476994625 0.0180918077005312 0.025130890052356 0.0393421577102864 0.0321349943250967 0.0530651437812705 0.0539271906971798 0 0.0481445540234554 0.0837661249790585 0.0806289054626083 0.107307279587386 0.0567847002732094 0.0707700903249837 0.0552697299288999 0.0794398263789362 0.0786958965711074 0.0625116579200758 0.0465610764920885 0.0400560785099139 0.05941770647653 0.050001639398013 0.03799646856351 0.0434985437444051 0.0673476259961836 0.0275992587627647 0.0410032119182669 0.0683365311325466 0.0173754398158203 0.0300832302704148 0.0303700811315025 0.0473804651350343 0.0387473797878422 0.0820737295670611 0.0434688111280156 0.0478427279053584 0.0160820542143917 0.0569558379733923 0.0807346856393178 0.0580122880573794 0.0887508320390504 0.0286068465719462 0.0623473034791245 0.0406338886631451 0.0191763206280809 0.0170368635134272 0.0610516140520465 0.0590393838104927 0.0537896823420426 0.0466870174178488 0.0467768521405979
"wollt" 0.0267552212027259 0.000692151691964811 0 0.0110236871477587 0.0112790435371081 0.0190599626424732 0 0.018848167539267 0.00569425966859409 0.0129907423867412 0.00758073482589579 0.00607630317714702 0.041642375281086 0.0240722770117277 0 0.00403144527313042 0.0276922011838416 0.00321422831735148 0.00372474159605177 0.0266113514472481 0.00163793456451415 0.0229342327150084 0.0489002485342529 0.000776017941534808 0.0120168235529742 0.0424412189118071 0.00327879602609922 0.0111754319304441 0.0239557197432956 0.0224492086653945 0.0191505060802857 0.00455591243536299 0.00262832812048256 0.00434385995395508 0.0100277434234716 0.00309898787056147 0 0.00889284126278346 0.00512960809794132 0.00271680069550098 0.0130480167014614 0 0.00255026140179368 0.0403673428196589 0.0263692218442634 0 0.00715171164298655 0.0021749059353183 0.00176669081144109 0.00338405658142604 0.0021296079391784 0.0025438172521686 0.00590393838104927 0.0179298941140142 0.00179565451607111 0
"gesagt" 0.0314767308267363 0.00761366861161292 0.0578636731859738 0.0303151396563366 0.0315813219039026 0.0571798879274197 0.00657883916382954 0.0397905759162304 0.00828255951795504 0.0116232958197158 0.0328498509122151 0.0182289095314411 0.0166569501124344 0.0225677596984947 0.00223376333277489 0.0241886716387825 0.0207691508878812 0.0385707398082177 0.0260731911723624 0.029340720826453 0.0171983129273986 0.0683530073074761 0.0247021874039009 0.0147443408891614 0.0440616863609053 0.0445632798573975 0.0172136791370209 0.0111754319304441 0.0176515829687441 0.0112246043326973 0.0174607555437899 0.022779562176815 0.0157699687228954 0.0195473697927979 0.016712905705786 0.0402868423172992 0.0262104700746998 0.0177856825255669 0.00341973873196088 0.0326016083460117 0.00869867780097425 0.00893447456355092 0.011051132741106 0.0252295892622868 0.0659230546106584 0.0221877080097626 0.00476780776199104 0.0152243415472281 0.00706676324576436 0.0146642451861795 0.0127776476350704 0.0356134415303605 0.0281572445865427 0.0249026307139086 0.01616089064464 0.0311845680937319
