"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Arnim_Isabella-von-Aegypten_1812" "m_Goethe_Wahlverwandschaften_1809" "m_Haller_Usong_1771" "m_Hauff_Memoiren-des-Satan_1826" "m_Heinse_Ardinghello_1787" "m_Hippel_Lebenslaeufe_1779" "m_Klingemann_Nachtwachen_1804" "m_Knigge_Braunschweig_1792" "m_Lesage_Gil-Blas_1715" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopfs-Predigerjahre_1790" "m_Novalis_Ofterdingen_1802" "m_Paul_Titan_1800" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Stendhal_Rot-und-Schwarz_1830" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Walpole_Otranto_1764" "m_Wieland_Peregrinus_1788" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Spanier_1814" "w_Huber_Ellen-Percy_1822" "w_La-Roche_Rosaliens-Briefe_1779" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"des" 0.394990929837907 0.473518584491153 0.463068397479693 0.373888439773646 1.1179727427598 0.483026969005769 0.500965657872808 0.358709026090797 0.337533173584808 0.475028213001601 0.377335316675082 0.482683159634651 0.778422669853192 0.581122460383094 0.581347126818124 0.167531854648419 0.50761421319797 0.545572496623406 0.518908932840687 0.558283069154159 0.488700295604081 0.360287067437604 0.408342827492076 0.523633919488446 0.531806558193216 0.648683712633115 0.4753717002124 0.353423117084795
"ihr" 0.485692550763649 0.740707754423465 0.840102229307422 0.497675828617623 0.172132311186826 0.310836799499083 0.333323529700107 0.36281036060195 0.316920460694133 0.24932420019421 0.897962525758424 0.0496651482582277 0.211676340047798 0.442547104445587 0.399629023623353 0.615856536101935 0.421462350396361 0.321529729978836 0.475440121712671 0.252489830270725 0.717555068179651 0.357381526571171 0.659891033378078 0.47322336869641 0.538595578085044 0.565796349352217 0.31152017801153 0.700152614527832
"ihm" 0.190180818070104 0.679105806911293 0.754067663655457 0.391572352465643 0.338940942646224 0.336553513126705 0.271560640373322 0.3252673754614 0.316920460694133 0.349053880271895 0.472863244947255 1.27189340617555 0.518948446568795 0.518540041572607 0.43129773870294 0.299669655497876 0.624136157131081 0.295651372439195 0.391219300152141 0.273998223219713 0.355201678268332 0.57239155068716 0.253804243606953 0.280209998546723 0.185566543709973 0.189199416184659 0.256903003944574 0.425714209215776
"sein" 0.351103048744807 0.302072200451253 0.339077405804803 0.338520614389652 0.509298693923907 0.310836799499083 0.34704861621717 0.42590781461968 0.226739841797429 0.341180484476288 0.307054055160555 0.682119770609096 0.491635370433595 0.3598489081603 0.349109882901156 0.276073619631902 0.417743564951687 0.335709651918366 0.377635296674636 0.395567400757469 0.269381138552494 0.325420577040416 0.345173771305456 0.469136026740299 0.366607074158727 0.396417824386904 0.461211692120967 0.535489571340598
"wenn" 0.313066885130786 0.184805842536516 0.278347124168122 0.438308407437348 0.16148495173197 0.345498456997182 0.306853719988628 0.718049026721772 0.389064955811497 0.351678345537097 0.363006127434256 0.331359661035363 0.232161147149198 0.257034934400215 0.24957963550817 0.335063709296838 0.402248625598879 0.342090616791155 0.263529667463595 0.230981437321738 0.119195194049776 0.188860156318099 0.250420187025527 0.265677227147217 0.253456742628256 0.291907670684902 0.360068777182158 0.484618062063241
"noch" 0.283808297735385 0.346603728773305 0.334016549001746 0.352415117219078 0.195201590005679 0.343262221029563 0.46273148828956 0.324320913651134 0.481822163819536 0.383171928719523 0.349359280538232 0.468714836687024 0.491635370433595 0.261505107172392 0.325358346591466 0.384615384615385 0.289445467110442 0.483180840089475 0.203760052162573 0.346939729742367 0.286068465719462 0.389342476101926 0.330509526119277 0.276576805696846 0.208196610016067 0.181991819377624 0.331748760999292 0.526118503842138
"auch" 0.210661829246884 0.3421505759411 0.29606012297882 0.453466046887631 0.283929585462805 0.326490451272418 0.254894463888317 0.411710887465691 0.383911777588828 0.335931553945884 0.230631712542817 0.492771392874603 0.245817685216798 0.315147180438524 0.224697073659923 0.299669655497876 0.19709562856771 0.359461021167078 0.168441643121061 0.304858091363913 0.379040717078287 0.319609495307552 0.189507168559858 0.59175628542363 0.330398968068976 0.369389336360524 0.394457368261353 0.415004417788964
"ihn" 0.184329100591023 0.483909274432965 0.538981249525545 0.291784559417947 0.299900624645088 0.337671631110515 0.203915571110654 0.243240685238351 0.26281208935611 0.217830617011784 0.399170271708722 0.758945546821043 0.437009218163196 0.366554167318567 0.364567231928097 0.424728645587541 0.517530974383766 0.236450198341658 0.456422516844164 0.20199186421658 0.338514351101364 0.438736670831275 0.260572356769805 0.277030954803081 0.201407590124239 0.1873975169829 0.212400121371498 0.518086160272029
"um" 0.418397799754228 0.266446977793611 0.361851261418558 0.344836297493937 0.120670073821692 0.391341294333378 0.204895934433301 0.244502634318705 0.481822163819536 0.307062436028659 0.472180902602454 0.274710351303322 0.307272106520997 0.324087525982879 0.327620397668579 0.325625294950448 0.345227248780548 0.372931947009632 0.244512062595088 0.356291204937579 0.202631829884619 0.200482319783828 0.398190657747798 0.297013515477402 0.373396094050556 0.270284880263798 0.390411651663801 0.297196712094032
"was" 0.359880624963427 0.284259589122432 0.366912118221615 0.492623282134196 0.166808631459398 0.315309271434322 0.310775173279217 0.537274820960974 0.229316430908763 0.286066713907041 0.297501262333338 0.232029364518908 0.198019801980198 0.241389329697593 0.156835541346524 0.210004719207173 0.277669313202308 0.239995178826541 0.383068898065638 0.417075793706457 0.381424620959283 0.493941947293489 0.171458866792253 0.362865135881413 0.291927855348616 0.275690577869074 0.416708809547891 0.144582184261962
