"m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Goethe_Wahlverwandschaften_1809" "m_Heinse_Ardinghello_1787" "m_Knigge_Braunschweig_1792" "m_Lesage_Teufel_1707" "m_Mueller_Siegfried_1779" "m_Paul_Hesperus_1795" "m_Schnabel_Kavalier_1738" "m_Stendhal_Rot-und-Schwarz_1830" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"vergnügen" 0.0207645507589443 0.0185163754195116 0.00657883916382954 0.0239995957962813 0.0294108996794212 0.0104978610608089 0.0407262854233837 0.00848824378236143 0.0133385609713706 0.0908502859967003 0.0235523078162672 0.0814682387019394 0.117123448114312 0.0404571659755234 0.0615813007041688
"solche" 0.0263017642946628 0.0231454692743895 0.0263153566553182 0.056841147938561 0.0303912630020686 0.0262446526520222 0.0294134283613327 0.0169764875647229 0.0367820923755977 0.0436081372784161 0.0247919029644918 0.00678901989182828 0.0198208912193452 0.0485485991706281 0.013387239283515
"worin" 0.025609612602698 0.00231454692743895 0.0312494860281903 0.0126313662085691 0.0323519896473633 0 0.0339385711861531 0 0.0307191101158838 0.000726802287973603 0.00247919029644918 0.0384711127203603 0.0342360848334144 0.0627086072620613 0
"zwei" 0.205569052513549 0.0601782201134128 0.0419400996694133 0.0239995957962813 0.0637236159720792 0.0656116316300554 0.143673284688048 0.0466853408029879 0.124897434550107 0.111200750059961 0.0892508506721705 0.0271560795673131 0.0198208912193452 0.0424800242742996 0.0481940614206538
"sache" 0.0332232812143109 0.0254600162018285 0.0246706468643608 0.0656831042845594 0.0205876297755948 0.0603627010996509 0.032807285479948 0.0657838893133011 0.0129343621540563 0.045788544142337 0.0359482592985131 0.0113150331530471 0.0144151936140692 0.0606857489632851 0.00803234357010897
"geld" 0.0117665787634018 0.00231454692743895 0.00411177447739346 0.00252627324171382 0.00490181661323687 0.036742513712831 0.0373324283047684 0.0212206094559036 0.00323359053851408 0.0305256960948913 0.027271093260941 0.015841046414266 0.0234246896228625 0.00202285829877617 0.0281132024953814
"kapitel" 0 0.00231454692743895 0.00164470979095739 0.0467360549717057 0.000980363322647373 0 0.0248882855365122 0.103980986333928 0.0230393325869129 0.000726802287973603 0.0551619840959943 0 0 0 0
"ins" 0.00969012368750735 0.0393472977664622 0.0296047762372329 0.0682093775262732 0.0490181661323687 0.00524893053040443 0.0452514282482041 0.0806383159324336 0.0634592143183389 0.063958601341677 0.0477244132066467 0.0271560795673131 0.00720759680703461 0.0424800242742996 0.0187421349969209
"damit" 0.0982855402590032 0.0717509547506076 0.032071840923669 0.0505254648342765 0.0754879758438477 0.0524893053040443 0.0565642853102551 0.0466853408029879 0.0885195409918231 0.0923038905726475 0.0576411743924434 0.0497861458734074 0.0378398832369317 0.0384343076767472 0.0174034110685694
"antwortete" 0.0117665787634018 0.0277745631292674 0.00164470979095739 0.0126313662085691 0.023528719743537 0.0104978610608089 0.178743141580406 0.0148544266191325 0.0125301633367421 0.0196236617752873 0.0192137247974811 0.0362081060897508 0.0198208912193452 0.012137149792657 0.0174034110685694
"vier" 0.047758466745572 0.00694364078231686 0.0139800332231378 0.00378940986257074 0.023528719743537 0.0314935831824266 0.0260195712427173 0.0233426704014939 0.037186291192912 0.0305256960948913 0.031609676279727 0.0181040530448754 0.00720759680703461 0.012137149792657 0.013387239283515
"hätten" 0.062293652276833 0.0277745631292674 0.0370059702965412 0.0176839126919968 0.023528719743537 0.0262446526520222 0.0147067141806663 0.0445632798573975 0.0165721515098847 0.0297988938069177 0.0223127126680426 0.0362081060897508 0.0216227904211038 0.0283200161828664 0.0174034110685694
"gewissen" 0.00553721353571849 0.0115727346371948 0.0222035821779247 0.0202101859337106 0.00784290658117899 0.036742513712831 0.0124441427682561 0.00636618283677107 0.0177847479618275 0.0348865098227329 0.00681777331523524 0.00226300663060943 0.0108113952105519 0.024274299585314 0.0013387239283515
"dazu" 0.0415291015178887 0.0879527832426802 0.0386506800874986 0.0303152789005659 0.0715665225532582 0.036742513712831 0.0407262854233837 0.0466853408029879 0.0598214249625106 0.000726802287973603 0.0471046156325344 0.0497861458734074 0.0630664720615529 0.0647314655608375 0.0200808589252724
"sechs" 0.0394526464419942 0.00694364078231686 0.00904590385026562 0 0.00196072664529475 0.0183712568564155 0.0169692855930765 0.0169764875647229 0.010913368067485 0.0341597075347593 0.027271093260941 0.0113150331530471 0.00540569760527596 0.00404571659755234 0.0174034110685694
"essen" 0.0173037922991203 0.0277745631292674 0.00575648426835085 0.00757881972514147 0.00294108996794212 0.0131223263260111 0.00452514282482041 0.00848824378236143 0.0133385609713706 0.0138092434714984 0.010536558759909 0.0113150331530471 0.00720759680703461 0.00202285829877617 0.00803234357010897
"versetzte" 0.00830582030357773 0.048605485476218 0.00164470979095739 0.1553658043654 0.0107839965491211 0 0.088240285083998 0.0169764875647229 0.00889237398091373 0.0370669166866537 0.00743757088934754 0.00226300663060943 0.00360379840351731 0.00404571659755234 0
"kurz" 0.0179959439910851 0.0138872815646337 0.0115129685367017 0.0176839126919968 0.0284305363567738 0.036742513712831 0.0101815713558459 0.0339529751294457 0.020209940865713 0.0218040686392081 0.010536558759909 0.0271560795673131 0.0306322864298971 0.0101142914938809 0.00535489571340598
"herren" 0.00276860676785924 0.00231454692743895 0.00740119405930824 0.00378940986257074 0.00392145329058949 0.00524893053040443 0.00565642853102551 0.0997368644427468 0.00565878344239965 0.0123556388955512 0.0526827937995451 0 0.0162170928158279 0 0.00267744785670299
"erwiderte" 0.00207645507589443 0.0555491262585349 0 0.013894502829426 0.00686254325853161 0 0.0011312857062051 0 0.00323359053851408 0.00654122059176242 0.0340888665761762 0.00452601326121886 0.00360379840351731 0 0
"sachen" 0.00692151691964811 0.00231454692743895 0.00493412937287216 0.00252627324171382 0.00686254325853161 0.0104978610608089 0.0011312857062051 0.00848824378236143 0.00565878344239965 0.045788544142337 0.00371878544467377 0.015841046414266 0.0216227904211038 0.00809143319510468 0.00669361964175748
"ehre" 0.00553721353571849 0 0.010690613641223 0.0101050929668553 0.0107839965491211 0.0314935831824266 0.0475139996606143 0.0636618283677107 0.0153595550579419 0.0305256960948913 0.0322294738538393 0.0248930729367037 0.0396417824386904 0.0101142914938809 0.013387239283515
"solcher" 0.0124587304553666 0.00694364078231686 0.00740119405930824 0.0113682295877122 0.0107839965491211 0.0131223263260111 0.011312857062051 0.0106103047279518 0.0125301633367421 0.0174432549113665 0.010536558759909 0.00226300663060943 0.00360379840351731 0.012137149792657 0.0013387239283515
"teufel" 0.00276860676785924 0.00231454692743895 0.00328941958191477 0 0.000980363322647373 0.0288691179172244 0.149329713219073 0.0106103047279518 0.0218267361349701 0.00436081372784161 0.021073117519818 0.00452601326121886 0.00360379840351731 0 0.00401617178505449
