"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Crebillon_Schaumloeffel_1735" "m_Crebillon_Sopha_1742" "m_Defoe_Moll-Flanders_1722" "m_Diderot_Jakob_1796" "m_Diderot_Kleinode_1748" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Hauff_Memoiren-des-Satan_1826" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperion_1797" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Hoffmann_Elixiere_1816" "m_Hoffmann_Kater-Murr_1820" "m_Knigge_Josephs-von-Wurmbrands_1792" "m_Miller_Siegwart_1776" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Paul_Flegeljahre_1804" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Quintus-Fixlein_1796" "m_Paul_Siebenkaes_1796" "m_Paul_Titan_1800" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Schnabel_Wunderliche-Fata_1731" "m_Scott_Ivanhoe_1819" "m_Spindler_Der-Jude_1827" "m_Sterne_Tristram-Shandy_1759" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Tieck_William-Lovell_1795" "m_Wezel_Hermann-und-Ulrike_1780" "m_Wezel_Kakerlak_1784" "m_Wieland_Abderiten_1774" "m_Wieland_Aristipp_1801" "w_Ahlefeld_Erna_1820" "w_Ahlefeld_Marie-Mueller_1799" "w_Ehrmann_Amalie_1787" "w_Fischer_Gustav_1801" "w_Fischer_Honigmonathe_1802" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Huber_Seldorf_1795" "w_La-Roche_Oneida_1798" "w_La-Roche_Rosaliens-Briefe_1779" "w_Liebeskind_Maria_1784" "w_Mereau_Bluethenalter_1794" "w_Naubert_Amtmannin_1787" "w_Schopenhauer_Die-Tante_1823" "w_Wolzogen_Agnes_1798"
"also" 0.122886067060682 0.0341408383802399 0.0302429517120871 0.0544069640914037 0.0582319520294622 0.0457018809180365 0.098791398774668 0.121314529581248 0.0909454189690097 0.00892628008435335 0.0362373340261729 0.0277960276949512 0.0447247193523861 0.0223945058812238 0.0589961195065779 0.00625338725142786 0 0.00840925017519271 0.041374226113907 0.148112756808409 0.0403301018839199 0.105538440048734 0.0640897256158622 0.127873045017869 0.0245861334207507 0.0374153477756576 0.0515816214682709 0.0405540128758991 0.0109332468727144 0.0499497216617484 0.012950012950013 0.140651679146978 0.0304045836599011 0.0762814139006748 0.122251513659144 0.0241058672972005 0.045099409261259 0.0770031459074182 0.0652400835073069 0.138613677169676 0.120264997701833 0.0107213694762611 0.0163784833524416 0.059506099375186 0.0252295892622868 0.0328172081506012 0.0143034232859731 0.0224740279982891 0.0303072943162999 0.0806237525440727 0.0558603400668507 0.100764020867081 0 0.0743852279688457 0.0220552197353374 0.0199623211188881
"vergnügen" 0.0585171747908011 0.0155860349127182 0.0042004099600121 0 0.0535104424054518 0.0714091889344321 0.0127472772612475 0.0292454669526223 0.0427167876975651 0.00557892505272084 0.0184605286548428 0.0202152928690554 0.0134174158057158 0.00693163277275975 0.00883364356248225 0 0 0.00467180565288484 0.0082748452227814 0 0.012603156838725 0.056649309732041 0.00400560785099139 0.0311485622479426 0.0138691009040132 0.014966139110263 0.0193431080506016 0.0123915039343025 0.0037700851285222 0 0.012950012950013 0.0658325095561635 0.0108105186346315 0.00493362378462076 0.0156435586198905 0.0205608868123181 0.0146096677888585 0.0522383150628214 0.182672233820459 0.0251179146549078 0.036978030902575 0.019655844039812 0.0187182666885046 0.0119012198750372 0 0.00596676511829112 0.00476780776199104 0.0028998745804244 0.00108240336843928 0.0609594226552745 0.0599476820229618 0.0267853726355531 0.00629128656810318 0.0113765642775882 0.0122528998529652 0.0299434816783321
"solche" 0.0234068699163204 0.0163282270514191 0.0285627877280823 0.0348204570184984 0.0110168557893577 0.0457018809180365 0.0398352414413984 0.015164316197656 0.0468506703779747 0.0189683451792509 0.0546978626810157 0.00758073482589579 0.0458428373361957 0.0117304554615934 0.0214531343660283 0.0208446241714262 0.0166569501124344 0.0112123335669236 0.0180542077587958 0.105112279025322 0.0176444195742149 0.0333687714859968 0.0160224314039656 0.0360667562870914 0.0353031659374882 0.0374153477756576 0.0232117296607219 0.0597045189561848 0.0192274341554632 0.0236603944713545 0 0.0367826085139199 0.0391881300505392 0.0136623427881806 0.0422955473797039 0.0244603653456888 0.0184208854729086 0.0429515034960976 0.0521920668058455 0.0344208460085773 0.0255735914653322 0.0142951593016815 0.0116989166803154 0.0442045309644239 0 0.00298338255914556 0.0357585582149328 0.0355234636101989 0.0064944202106357 0.0157314639110386 0.00908298212469118 0.0522952513360799 0.00629128656810318 0.0183775269099501 0.0171540597941513 0.0174670309790271
"worin" 0.0146292936977003 0.0141016506353165 0.000840081992002419 0.00870511425462459 0.0834133366908513 0.0299918593524615 0.00159340965765593 0.00541582721344858 0.0124016480412286 0.0033473550316325 0.0150419122372793 0 0.00670870790285791 0.00799803781472279 0.00220841089062056 0.0250135490057114 0 0.0112123335669236 0.00902710387939789 0.00955566172957477 0.000504126273548999 0.0791538300365505 0.0360504706589225 0.045903144365389 0.0416073027120396 0.0299322782205261 0.0477129998581505 0.0456232644853865 0.0395858938494831 0 0 0.00020899209382909 0.00608091673198022 0.00113852856568171 0.00869086589993916 0.00354498048488243 0.00190560884202503 0.000386950481946825 0.00434933890048713 0.0372117254146782 0.0459633468228269 0 0.00233978333606308 0 0.00504591785245736 0 0.00238390388099552 0.0036248432255305 0.00108240336843928 0.00393286597775964 0.00408734195611103 0 0 0 0.00163371998039536 0.00499058027972202
"zwei" 0.0585171747908011 0.0341408383802399 0.0470445915521355 0.0195865070729053 0.0157383654133682 0.0257073080163955 0.0828573021981086 0.1158987023678 0.112992793264527 0.0357051203374134 0.0376047805931983 0.0480113205640067 0.0559058991904826 0.0394569865526324 0.0530018613748935 0.0104223120857131 0.0166569501124344 0.0308339173090399 0.0278335702948102 0.0191113234591495 0.0362970916955279 0.0232805382460442 0.052072902062888 0.0401652513197154 0.0661934361327903 0.0448984173307891 0.109610945620076 0.11659278701821 0.0614523875949119 0.0374622912463113 0.012950012950013 0.0595627467412908 0.0689170562957758 0.0284632141420428 0.073003273559489 0.0482117345944011 0.0165152766308836 0.0448862559058317 0.0608907446068198 0.0158149833012382 0.0490736484875294 0.0125082643889713 0.0163784833524416 0.0229523526161432 0.0605510142294883 0.0716011814194934 0.0405263659769238 0.028998745804244 0.0248952774741035 0.122902061804989 0.152139950588577 0.0471932755959745 0.0251651462724127 0.0122516846066334 0.020421499754942 0.0386769971678457
"sache" 0.0146292936977003 0.0126172663579147 0.0235222957760677 0.0805223068552775 0.0535104424054518 0.059983718704923 0.050192404216162 0.0606572647906241 0.0206694134020476 0.00557892505272084 0.0321349943250967 0.0277960276949512 0.0324254215304799 0.0613182899128747 0.0567877086159573 0.00833784966857048 0.00832847505621721 0.0158841392198085 0.0157974317889463 0.0907787864309604 0.0226856823097049 0.0434570047259493 0.0280392549569397 0.0409849503262402 0.0220644787109301 0.0187076738878288 0.0141849459037745 0.0270360085839327 0.0109332468727144 0.0276037935499136 0 0.048486165768349 0.0222966946839275 0.0163189094414379 0.08285292157942 0.0297778360730124 0.0196912913675919 0.0278604347001714 0.0260960334029228 0.222340059352702 0.0646251568110423 0.00357378982542037 0.00935913334425232 0.0221022654822119 0.0100918357049147 0.02685044303231 0.0166873271669686 0.0253739025787135 0.0324721010531785 0.00688251546107937 0.011353727655864 0.0573972270761853 0 0.0883871532335696 0.00898545989217448 0.0149717408391661
"geld" 0.0175551524372403 0.0200391877449234 0.00756073792802177 0.0174102285092492 0 0.00428455133606593 0.116318905008883 0.0346612941660709 0.0124016480412286 0.00557892505272084 0.0136744656702539 0.00758073482589579 0.0346616574980992 0.0250605184861314 0.0277628797678014 0.00208446241714262 0 0.00840925017519271 0.00526581059631544 0.0430004777830865 0.0312558289600379 0.0209524844214398 0.00801121570198278 0.0303288632414178 0.034672752260033 0.0411568825532233 0.0219221891240151 0.0270360085839327 0.00414709364137442 0.0433773898641499 0 0.0564278653338544 0.0222966946839275 0.0314992903171941 0.0133259943799067 0.0049629726788354 0.0190560884202503 0.0383080977127357 0.034794711203897 0.0102332244890365 0.00449265796012593 0.00536068473813055 0.0233978333606308 0.029753049687593 0 0.00298338255914556 0.00715171164298655 0.0043498118706366 0.00541201684219641 0.00294964948331973 0.0249782008429007 0.0395403119858165 0 0.0140019252647239 0.00571801993138376 0.00249529013986101
"kapitel" 0.00877757621862017 0.0504690654316589 0.0319231156960919 0 0.0723964809014936 0.0314200431311501 0.024697849693667 0.00324949632806915 0.00551184357387937 0.0278946252636042 0.0287163779075333 0 0.0234804776600027 0.00159960756294456 0.00820266902230495 0 0.0499708503373032 0 0.00150451731323298 0 0 0.00155203588306962 0 0.00983638807829765 0.0151299282589235 0 0.0103163242936542 0.0287257591204285 0.00678615323133996 0 0.181300181300181 0 0.0344585281478879 0.0178369475290135 0.254932066398215 0.00106349414546473 0 0.02437788036265 0 0.060469053798852 0.00207353444313505 0 0.0561548000655139 0.000850087133931228 0.297709153294984 0.00298338255914556 0.0429102698579193 0.0014499372902122 0 0 0 0.00255098787005268 0 0.068259385665529 0 0
"ins" 0.0438878810931008 0.0489846811542572 0.0386437716321113 0 0.0393459135334204 0.00142818377868864 0.0462088800720221 0.0628235956760036 0.0399608659106255 0.099304865938431 0.0601676489491173 0.0303229393035832 0.0726776689476274 0.0485214294093182 0.0813957156828722 0.120898820194272 0.0999417006746065 0.0710114459238496 0.0707123137219502 0.00477783086478739 0.117461421736917 0.0395769150182752 0.0560785099138794 0.0606577264828355 0.116626530329202 0.12347064765967 0.0722142700555792 0.066463521102168 0.0863349494431584 0.0867547797282998 0.0518000518000518 0.0407534582966726 0.0439177319531905 0.00379509521893904 0.0608360612995741 0.0336773146063831 0.0203264943149336 0.0661685324129071 0.0826374391092554 0.0437237773622468 0.0311030166470257 0.039311688079624 0.0397763167130724 0.0918094104645726 0 0.0238670604731645 0.0309907504529417 0.0449480559965781 0 0.00294964948331973 0.0231616044179625 0.0408158059208428 0.0377477194086191 0.028878970858493 0.0514621793824539 0.0536487380070118
"damit" 0.055591316051261 0.0341408383802399 0.0588057394401694 0.0239390642002176 0.0708226443601568 0.0771219240491866 0.108351856720604 0.0660730920040727 0.0344490223367461 0.0156209901476184 0.0505955229799396 0.0151614696517916 0.0212442416923834 0.0282597336120205 0.0523708868347162 0.0333513986742819 0.041642375281086 0.0383088063536557 0.0850052281976635 0.0764452938365982 0.0236939348568029 0.036472843252136 0.0560785099138794 0.0598380274763107 0.0699759181975212 0.12347064765967 0.105742324009955 0.0737857734269831 0.0573052939535375 0.0637516184367052 0.0518000518000518 0.0764911063414471 0.0425664171238615 0.051613294977571 0.126307251079116 0.0492752287398658 0.0495458298926507 0.0487557607253 0.0652400835073069 0.0502358293098155 0.045617757748971 0.0125082643889713 0.0163784833524416 0.0450546180983551 0.0302755071147442 0.0387839732688923 0.0238390388099552 0.0500228365123208 0.0292248909478606 0.0707915875996736 0.0440524633047522 0.067601178556396 0 0.0306292115165835 0.0375755595490933 0.00873351548951354
"antwortete" 0.0321844461349406 0.0497268732929581 0.00756073792802177 0.0043525571273123 0.0739703174428304 0.309915879975435 0.100384808432324 0.0487424449210372 0.272836256907029 0.0323577653057809 0.0129907423867412 0.0176883812604235 0.0670870790285791 0.00746483529374127 0.013565952613812 0.00625338725142786 0 0.0140154169586545 0.00376129328308246 0 0.0473878697136059 0.0124162870645569 0.0160224314039656 0.0270500672153185 0.021434065033475 0 0.00128954053670677 0.0197137562591176 0.0233745277968377 0.0775535152116619 0.0259000259000259 0.0110765809729418 0.0655387692224534 0.0690707329846906 0.020278687099858 0.0560106916611424 0.00571682652607508 0.0452732063877786 0.0652400835073069 0.0148846901658713 0.0058750142555493 0.0232296338652324 0.0514752333933878 0.0059506099375186 0.116056110606519 0.0358005907097467 0.00238390388099552 0.0036248432255305 0.0313896976847392 0.0501440412164354 0.0190742624618515 0.0102039514802107 0.0125825731362064 0.0148770455937691 0.0147034798235582 0.0162193859090966
"vier" 0.0468137398326409 0.00964849780311127 0.00672065593601936 0.015233949945593 0.00629534616534727 0.00428455133606593 0.0143406869189034 0.0216633088537943 0.0330710614432762 0.00446314004217667 0.00752095611863966 0.0101076464345277 0.0234804776600027 0.0197284932763162 0.0220841089062056 0.00208446241714262 0 0.0158841392198085 0.0082748452227814 0.00477783086478739 0.0297434501393909 0.0194004485383702 0.0320448628079311 0.0245909701957441 0.0271077881305713 0.0336738129980918 0.0361071350277896 0.0304155096569243 0.0113102553855666 0.00525786543807878 0.0259000259000259 0.00334387350126545 0.021621037269263 0.00796969995977199 0.0214374692198499 0.0191428946183651 0.0025408117893667 0.0236039793987563 0.0391440501043841 0.0213967421134399 0.0214265225790621 0.00536068473813055 0.00935913334425232 0.00680069707144982 0.0151377535573721 0.047734120946329 0.00238390388099552 0.00507478051574269 0.0119064370528321 0.0324461443165171 0.0613101293416655 0.00892845754518437 0.00629128656810318 0.0122516846066334 0.0114360398627675 0
"hätten" 0.0321844461349406 0.0259767248545303 0.0285627877280823 0.00870511425462459 0.0299028942853995 0.0414173295819706 0.0525825187026459 0.0444097831502784 0.0537404748453239 0.0033473550316325 0.0150419122372793 0.0202152928690554 0.0234804776600027 0.0341249613428172 0.0236615452566489 0.0187601617542836 0.0166569501124344 0.00747488904461574 0.00677032790954842 0.0477783086478739 0.017140293300666 0.0131923050060917 0.0280392549569397 0.0368864552936162 0.0100866188392823 0.0112246043326973 0.0141849459037745 0.0180240057226218 0.0113102553855666 0.0308899594487128 0.0388500388500388 0.0603987151166071 0.0209453798545985 0.0110057761349232 0.0446131116196877 0.0258783575396417 0.0190560884202503 0.0185736231334476 0.0260960334029228 0.0772143302354572 0.0345589073855841 0.0107213694762611 0.00467956667212616 0.0195520040804182 0.0201836714098294 0.0358005907097467 0.0119195194049776 0.0224740279982891 0.0281424875794213 0.0226139793721179 0.0413275686673449 0.0165814211553424 0.0125825731362064 0.035879933490855 0.0155203398137559 0.0237052563286796
"gewissen" 0.0204810111767804 0.0141016506353165 0.00588057394401694 0.0217627856365615 0.00629534616534727 0.0299918593524615 0.0191209158918712 0.0140811507549663 0.0110236871477587 0.00892628008435335 0.0348698874591475 0.0101076464345277 0.0156536517733351 0.0367909739477248 0.0268164179575354 0.00416892483428524 0 0.0140154169586545 0.0195587250720288 0.0143334925943622 0.00806602037678398 0.0256085920706487 0.0200280392549569 0.0180333781435457 0.0100866188392823 0.00748306955513151 0.00386862161012031 0.0118282537554706 0.00829418728274884 0.00788679815711816 0 0.0357376480447745 0.011486176049296 0.0182164570509074 0.031287117239781 0.0202063887638299 0.025408117893667 0.0158649697598198 0.0130480167014614 0.00837263821830259 0.0235000570221972 0.00893447456355092 0.0187182666885046 0.0280528754197305 0.0151377535573721 0.00895014767743668 0.00238390388099552 0.0275488085140318 0.0238128741056642 0.00294964948331973 0.00499564016858015 0.0153059272203161 0.0125825731362064 0.0245033692132668 0.00735173991177912 0.0137240957692356
"dazu" 0.052665457311721 0.0319142619641373 0.0235222957760677 0.0174102285092492 0.051936605864115 0.0799782916065639 0.0685166152792052 0.0259959706245532 0.0234253351889873 0.0234314852214275 0.0273489313405079 0.037903674129479 0.0324254215304799 0.0314589487379096 0.02807836703789 0.0104223120857131 0 0.0327026395701939 0.0278335702948102 0.0573339703774486 0.0357929654219789 0.0488891303166929 0.0400560785099139 0.0426243483392898 0.0617805403906043 0.0486399521083548 0.0490025403948573 0.0675900214598318 0.0659764897491385 0.0440346230439097 0 0.00125395256297454 0.0385124726358747 0.0193549856165891 0.0793765752194444 0.0315503263154536 0.0336657562091088 0.0503035626530873 0.0608907446068198 0.0548872949866503 0.0597869097770605 0.0178689491271018 0.0116989166803154 0.0459047052322863 0.0504591785245736 0.0507175035054745 0.0190712310479641 0.0384233381906233 0.0259776808425428 0.0157314639110386 0.0449607615172213 0.067601178556396 0 0.0262536098713573 0.0539127593530469 0.0162193859090966
