"m_Argens_Therese_1748" "m_Campe_Robinson_1779" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hoelderlin_Hyperion_1797" "m_Hoffmann_Elixiere_1816" "m_Jacobi_Woldemar_1779" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Mueller_Siegfried_1779" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Schlegel_Lucinde_1799" "m_Scott_Ivanhoe_1819" "m_Sterne_Tristram-Shandy_1759" "m_Swift_Gullivers-Reisen_1726" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Walpole_Otranto_1764" "w_Fischer_Gustav_1801" "w_Fouque_Falkenstein_1810" "w_La-Roche_Oneida_1798" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Schopenhauer_Die-Tante_1823" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"das" 0.860202469424776 1.06211455520174 1.09478069667863 0.992582358842782 0.889381804997174 1.32780255971985 1.20812894183602 1.05230364498598 0.814034417347872 0.856661045531197 1.39207198030727 1.223481872264 0.984200984200984 0.875907601626686 1.18661630511081 0.935109861895624 1.14893247197196 0.850832182424872 1.24145216580583 0.94544664203434 1.10505600968816 1.10902628407548 0.705949443007856 0.730951141686845 0.893742004072292 0.942656428688123 0.989177708101547 0.757717743446946
"sich" 0.781204283457195 0.991575637873352 0.944335146395093 0.847025542343054 1.02214923272157 0.717055071497061 0.750291987853305 1.11461109764962 0.640037119423557 1.25778527262507 0.744843391902215 0.587420960077824 0.466200466200466 0.676688015542421 1.01948724805295 0.803356666036053 0.746835076334772 0.576630341643396 0.592011740975366 0.926429037165833 0.640831567262085 1.2356413894101 0.491608247219955 0.484283418950418 0.484710885273078 1.01454010782552 0.934560534034591 0.737636884521674
"so" 0.561764877991691 1.29690838002338 0.516143964818887 0.843736122761139 0.986957866336792 0.979697336057031 0.672740014015417 1.25999515386479 0.808575678589462 0.941652613827993 1.30931160342925 0.808171511954204 0.841750841750842 0.777121030014653 1.10305177658188 0.780384313937461 1.24105565051131 0.826637902355918 1.07767406740426 0.725385785698761 0.852760117065294 0.858847039799857 0.760026350202051 0.563488651021747 0.684721696668288 0.852801829766378 1.37756650146657 0.787169669870679
"mit" 0.866054186903856 0.826313031561127 0.754542298345099 0.870873834311936 0.710225757947384 0.802518030599908 0.959588881102546 0.899996538474852 0.810622705623866 0.999213041034289 0.855190561072914 0.800688442399072 1.45040145040145 0.897311358809292 0.855700772136244 0.97835193643415 0.783916104174513 0.962730727743783 0.912123478760249 0.635731362747229 0.913311131294782 0.864948972587067 1.21722202011661 1.01835298377424 1.10636610987981 1.01208952785493 0.768686153534945 0.773782430587164
"von" 0.962607525308678 0.764843403603531 0.62029857655364 1.34290554431671 0.815266654580743 0.733730770834202 0.717589348283111 1.01076534321022 0.937538381756895 0.923664980326026 0.827603768780239 0.692183933849665 0.764050764050764 0.759010158552447 0.91920981381823 1.09051106726845 0.789130623714476 1.11999354819198 0.722821520867528 0.652032166920235 0.756887677868604 0.665110673805928 1.10316890676158 1.0794541628007 1.11897940429212 0.927136088874367 1.08425204814403 0.809927976652655
"es" 0.637837205219732 0.847474706759644 0.969795162596922 0.737652341244387 0.96509656297655 1.23191728853129 1.00163513197851 1.0315344940981 0.720553516110103 0.975379426644182 0.636618283677107 0.553747147079732 0.621600621600622 0.752424387111645 1.06294080288799 0.668225183103159 1.01567252817289 0.488926076393439 0.921694926069432 0.646598565529233 1.11514784539308 0.87257638857108 0.475876783308917 0.574803684174795 0.610843829396184 0.868322169580134 0.954789117022353 0.807250528795952
"ein" 0.795833577154895 0.81522834455238 0.560120356440227 0.670219239815135 0.81793266718565 1.02972443406845 0.828778322821771 0.564228599120773 0.807210993899859 0.902529510961214 1.07376283846872 1.04014666816328 1.11370111370111 0.604244529693597 0.715312364207641 0.806059295694711 0.826791042614212 0.797403147272599 0.749408874504146 0.567811345359704 0.782117267130891 0.776470947172517 0.390336948292645 0.445812306230057 0.484710885273078 0.606926972716876 0.50166885809649 0.419020589574018
"daß" 0.933348937913278 1.04296827764118 0.668904062029858 0.564135458298383 0.823797894916447 0.464835119022804 0.840925017519271 0.983073142026377 0.87408054369038 0.7725688589095 0.912486206603854 0.516331799304075 0.401450401450401 1.2216606022688 0.544840726008624 0.589848923002081 0.887627103913787 0.735909352097342 0.556207438078053 0.592262551619213 0.716520335048945 0.52476621970009 0.743311669796572 0.767159247776596 0.852298322431843 0.536677013559876 1.21776069586325 0.812605424509358
"dem" 0.591023465387091 0.682212100447418 0.391158430737183 0.789460699659545 0.763012807524554 0.53362237878851 1.15954216304602 0.439613693793485 0.606602344528297 0.805845980888139 0.836092012562601 0.770756164178546 0.880600880600881 0.535093929565174 0.481331684326637 0.841869138671928 0.724818216054926 0.632075566801415 0.946864287512097 0.676483373179743 0.418811181753961 0.709349686513203 0.8868612779848 0.640430876462468 0.762203362343911 0.718836791373959 0.625063214321837 0.445795068141048
"auf" 0.693428521270993 0.762828005965577 0.715195000578637 0.697356951365931 0.647307860471564 0.391878934422812 0.839056295258117 0.706151130187961 0.588861443563465 0.742889263631254 0.530515236397589 0.9615744378344 0.738150738150738 0.467589772296952 0.451248454056222 0.679711359152455 0.686578406095194 0.789338387249614 0.750117870601122 0.575961747446207 0.731658088606318 0.787149329550135 0.794438927507448 0.547647604607482 0.62886282141377 0.646136252246365 0.637200364114494 0.562264049907628
"als" 0.374509918661127 0.512918698859285 0.483740307834741 0.499991776451045 0.676100796604566 0.293909200817109 0.748423265592151 0.564228599120773 0.79629351638304 0.593142214727375 0.628130039894746 0.823137651064467 0.78995078995079 0.628941172596605 0.568238793996724 0.683089646225778 0.733509081954865 0.652237466858877 0.910350988517808 0.652032166920235 0.620647895852256 0.611718761917837 0.557483752347429 0.416393220032135 0.558588752545183 0.642868812285574 0.845554768888439 0.459182307424563
"war" 0.564690736731231 0.750735620137853 0.569378544149983 0.24506175885265 0.615315709212673 0.73998415808563 0.685821069843495 0.879227387586971 0.593637839977073 0.587745924676785 0.555979967744674 0.243199760541774 0.712250712250712 0.691506001284225 0.691914296219541 0.462149671630496 0.597352182855818 0.614937951752573 0.34492660117906 0.486307324494675 0.933494802704612 0.433237227891935 0.509306144119874 0.47296838579737 0.502729877290664 0.624897892501225 1.14898351370486 0.618490454898391
"wie" 0.570542454210311 0.500826313031561 0.324036569841454 0.387329155770464 0.534802128544464 1.50498186517697 0.690492875496379 0.643843677524317 0.401217298743125 0.589994378864531 0.428656311009252 0.980282111722228 0.194250194250194 0.40008561502873 0.855700772136244 0.467554930947812 0.737564819374837 0.638124136818654 0.689498704309633 0.385785698761139 0.504591785245736 0.706298720119598 0.670553649208019 0.47523139242798 0.385606429176352 0.530142133638294 0.485485991706281 0.34940694529974
"ist" 0.672947510094213 0.366802370107622 0.599467654206689 0.872518544102893 0.88085056466147 1.04223120857131 0.407381452931558 0.51576724704905 0.418958199707958 0.508150646430579 0.645106527459469 0.486399521083548 0.155400155400155 0.322702800599305 0.97937627435906 0.527012783438286 0.736406037254845 0.270169460769983 0.440641074270886 0.760704194740274 0.408719346049046 0.521715253306485 0.312662845231892 0.497861458734074 0.518946970106492 0.346348635843816 0.629108930919389 0.619829178826742
"an" 0.418397799754228 0.516949494135193 0.546233074875593 0.481899968750514 0.455354952918217 0.635761037228499 0.458771315113291 0.737304856519783 0.47559261432646 0.558066329398539 0.390459213988626 0.587420960077824 0.725200725200725 0.433014472232741 0.534812982585152 0.473635847679792 0.382398099597323 0.513120356462393 0.581376799520719 0.423820908498153 0.504591785245736 0.623922627492258 0.490625030725515 0.563488651021747 0.558588752545183 0.541578173501062 0.519874582785476 0.518086160272029
"mir" 0.828018023289836 0.117900761820307 1.47899548663349 0.0789460699659545 0.145031085706973 1.05056905823988 1.07544966129409 0.591920800304614 1.13337063471485 0.245980888139404 0.269501740089975 0.441501103752759 1.32090132090132 1.38136555970825 0.41782264264465 0.312829382989649 0.274051971378082 0.783289817232376 1.00890144599754 0.559660943273201 1.09496417398325 0.424084328711119 0.670553649208019 0.819208400280613 0.798241346379084 0.566083973206992 0.805097602912916 0.641248761680366
"eine" 0.52080285563813 0.481680035470998 0.506885777109131 0.562490748507426 0.469751420984718 0.321007212239963 0.342910534921747 0.422306068053584 0.47559261432646 0.643057897695335 0.437144554791614 0.404085755977102 0.608650608650609 0.525215272403971 0.635090416819868 0.422285884165293 0.544048205336192 0.630059376795669 0.417953199167639 0.412953705716149 0.524775456655566 0.503409454944854 0.4434306389924 0.39376315372604 0.632466619817287 0.354517235745793 0.548194598968342 0.337358429944577
