"m_Fischer_Christian_Hannchen_1800" "m_Hauff_Bettlerin_1826" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Jacobi_Eduard-Allwill_1792" "m_Klingemann_Nachtwachen_1804" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wieland_Agathon_1794" "m_Wieland_Peregrinus_1788" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"erscheinung" 0.00381199252849464 0.00819358715245535 0.00189292362053191 0 0.00403144527313042 0.0128829455566721 0.00394275125182352 0.00658577144080215 0.0074444590182531 0.00805422351089798 0.0196380979099453 0 0.0144151936140692 0.0141600080914332 0.00267744785670299
"andenken" 0.00762398505698929 0.00273119571748511 0.0116730289932801 0.0166569501124344 0 0 0.00225300071532773 0 0.00886245121220608 0.00867377916558244 0.00374059007808482 0.031682092828532 0.0270284880263798 0.00404571659755234 0.0401617178505449
"fühlen" 0.0152479701139786 0.0300431528923363 0.00347035997097517 0.041642375281086 0.0564402338238258 0.00257658911133442 0.00281625089415966 0.00493932858060161 0.00815345511522959 0.0142497800577426 0.0121569177537757 0.0203670596754848 0.00720759680703461 0.0101142914938809 0.0200808589252724
"zukunft" 0.0114359775854839 0.00546239143497023 0.00283938543079787 0.0249854251686516 0.00806289054626083 0 0.0185872559014537 0.0148179857418048 0.00921694926069432 0.00681511220152906 0.000935147519521204 0.00905202652243771 0.00540569760527596 0.00606857489632851 0.0214195828536239
"vermochte" 0 0.00273119571748511 0.00189292362053191 0 0.00806289054626083 0 0.00563250178831932 0 0.00319048243639419 0.00123911130936892 0.00280544255856361 0 0 0.00404571659755234 0.00937106749846047
"indessen" 0.102923798269355 0.0136559785874256 0.103164337318989 0 0.0120943358193913 0 0.00506925160948739 0.00493932858060161 0.000354498048488243 0.0291191157701696 0.045822228456539 0.0135780397836566 0.0108113952105519 0.0364114493779711 0.0013387239283515
"bitte" 0.00762398505698929 0.0355055443273065 0.0220841089062056 0 0.00403144527313042 0.00772976733400325 0.0174607555437899 0.0131715428816043 0.0170159063274357 0.00061955565468446 0.00374059007808482 0.0226300663060943 0.0252265888246212 0.00606857489632851 0.0254357546386784
"elise" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"welcher" 0.0114359775854839 0.0327743486098214 0.0176672871249645 0 0.0322515621850433 0 0.0360480114452436 0.0115251000214038 0.0251693614426653 0.0879769029651934 0.0804226866788236 0.0497861458734074 0.0630664720615529 0.09507434004248 0.0856783314144957
"konnte" 0.202035604010216 0.139290981591741 0.117361264472979 0.0916132256183893 0.0645031243700867 0.0463786040040195 0.104764533262739 0.136654757396645 0.100677445770661 0.16108447021796 0.173002291111423 0.126728371314128 0.108113952105519 0.315565894609083 0.0896945031995502
"trost" 0.0114359775854839 0.0136559785874256 0.0167208253146986 0.0333139002248688 0.0120943358193913 0 0.0112650035766386 0.00658577144080215 0.00992594535767081 0.00185866696405338 0.00187029503904241 0.0226300663060943 0.0108113952105519 0.00606857489632851 0.0227583067819754
"ganz" 0.0609918804559143 0.136559785874256 0.0747704830110105 0.133255600899475 0.241886716387825 0.136559222900724 0.0760387741423108 0.0971401287518317 0.117693352098097 0.0693902333246596 0.103801374666854 0.0927832718549865 0.142350036938934 0.157782947304541 0.0749685399876837
"kennen" 0.0266839476994625 0.024580761457366 0.0287093415780673 0 0.00403144527313042 0.00772976733400325 0.00450600143065545 0.00987865716120322 0.0159524121819709 0.0216844479139561 0.0224435404685089 0.031682092828532 0.0324341856316558 0.0445028825730758 0.0495327853490053
"dünkt" 0 0.00273119571748511 0.0189292362053191 0.0166569501124344 0.00403144527313042 0 0.00337950107299159 0 0.0024814863394177 0 0.00374059007808482 0.015841046414266 0.0108113952105519 0.00202285829877617 0.00937106749846047
"kannte" 0.00381199252849464 0.00546239143497023 0.00630974540177304 0.00832847505621721 0 0.00257658911133442 0.00450600143065545 0.0263430857632086 0.00567196877581189 0.014869335712427 0.00935147519521204 0.0113150331530471 0.00720759680703461 0.012137149792657 0.0120485153551635
"sorge" 0 0.00273119571748511 0.00283938543079787 0 0.0120943358193913 0.00257658911133442 0.00450600143065545 0.0181108714622059 0.00992594535767081 0.0130106687483737 0.00748118015616964 0.0294190861979226 0.0198208912193452 0.00404571659755234 0.00401617178505449
"tränen" 0.0571798879274197 0.0737422843720981 0.0277628797678014 0.041642375281086 0.0524087885506954 0.0154595346680065 0.04956601573721 0.0740899287090242 0.0230423731517358 0.0179671139858493 0.00935147519521204 0.0611011790264545 0.0234246896228625 0.012137149792657 0.139227288548556
"art" 0.00381199252849464 0.0109247828699405 0.0589961195065779 0.0166569501124344 0.0322515621850433 0.0154595346680065 0.0225300071532773 0.0691506001284225 0.02623285558813 0.221800924377037 0.157104783279562 0.0588381723958451 0.0810854640791394 0.0525943157681804 0.0160646871402179
"vergessen" 0.0152479701139786 0.0327743486098214 0.0198756980155851 0.0666278004497377 0.0322515621850433 0.00515317822266883 0.0174607555437899 0.0279895286234091 0.0170159063274357 0.0167280026764804 0.00841632767569084 0.0135780397836566 0.00900949600879327 0.00404571659755234 0.0468553374923023
"fühle" 0.00762398505698929 0.00273119571748511 0.00283938543079787 0 0.0161257810925217 0 0 0.00658577144080215 0.00567196877581189 0.00495644523747568 0.00187029503904241 0.0203670596754848 0.00900949600879327 0.00606857489632851 0.0441778896355993
"nie" 0.0266839476994625 0.0819358715245534 0.0586806322364893 0.183226451236779 0.177383592017738 0.030919069336013 0.0433702637700587 0.0362217429244118 0.0574286838550954 0.0185866696405338 0.0542385561322299 0.00226300663060943 0.00360379840351731 0.175988671993527 0.211518380679536
