"m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Cleland_Fanny-Hill_1748" "m_Defoe_Moll-Flanders_1722" "m_Fischer_Christian_Hannchen_1800" "m_Hauff_Lichtenstein_1826" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Hoelderlin_Hyperion_1797" "m_Hoffmann_Kater-Murr_1820" "m_Knigge_Braunschweig_1792" "m_Miller_Siegwart_1776" "m_Moritz_Hartknopfs-Predigerjahre_1790" "m_Paul_Katzenberger_1809" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Sterne_Tristram-Shandy_1759" "m_Voss_Ini_1810" "m_Wezel_Hermann-und-Ulrike_1780" "m_Wieland_Abderiten_1774" "m_Wieland_Peregrinus_1788" "m_Zschokke_Goldmacherdorf_1817" "w_Fischer_Gustav_1801" "w_Fischer_Margarethe_1812" "w_Fouque_Resignation_1829" "w_Froelich_Kentucky_1819" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"sein" 0.337712960784973 0.413492927094668 0.320364007800167 0.325055570161811 0.369763275263981 0.45800794519891 0.241958440079704 0.356443073331388 0.297142169363514 0.341180484476288 0.510175788831587 0.491635370433595 0.272615802192831 0.329288572040107 0.386453837017295 0.328294918268244 0.368763809295324 0.467937447089578 0.395567400757469 0.2460024600246 0.257341810475325 0.303246051209029 0.33638545132923 0.344504708231012 0.366607074158727 0.396417824386904 0.461211692120967 0.535489571340598
"noch" 0.275546893376794 0.359085963003264 0.394651313956728 0.599918736107459 0.297335417222582 0.476392208269721 0.256191289496157 0.402301246508525 0.25727246056284 0.383171928719523 0.536894481329683 0.491635370433595 0.39523339007869 0.444539572254145 0.359222457197485 0.451405512618836 0.308786484593567 0.317229959160131 0.346939729742367 0.314599299839152 0.504591785245736 0.392901405479524 0.321886078427108 0.337437944985248 0.208196610016067 0.181991819377624 0.331748760999292 0.526118503842138
"wenn" 0.358715010585033 0.267682263329706 0.218218961834896 0.47802289729678 0.381199252849464 0.378875682415852 0.441218331910048 0.569058239879935 0.21213694116585 0.351678345537097 0.471358065768314 0.232161147149198 0.355948143474482 0.388560515007327 0.422955473797039 0.247931058067164 0.577330119064663 0.368396081605314 0.230981437321738 0.454158387737724 0.388535674639217 0.48255675975002 0.341460231844973 0.206702824938608 0.253456742628256 0.291907670684902 0.360068777182158 0.484618062063241
"auch" 0.278067139352801 0.32208922742111 0.287863311356672 0.729781623206418 0.335455342507529 0.406052419129225 0.469684030742955 0.51694667945137 0.317453153092159 0.335931553945884 0.560588416186486 0.245817685216798 0.276187188247759 0.406671386469533 0.282742837278021 0.644620750974626 0.286730307122598 0.307927027806462 0.304858091363913 0.447062162929322 0.216974467655667 0.566938269651663 0.497328490542784 0.386905287705599 0.330398968068976 0.369389336360524 0.394457368261353 0.415004417788964
"ihn" 0.353674518633019 0.18063112078346 0.482867490017643 0.397555709585156 0.4269431631914 0.473994260912659 0.128095644748079 0.131321132279985 0.226429855641564 0.217830617011784 0.56361317382778 0.437009218163196 0.277377650266068 0.45935755799595 0.294910049537936 0.306066616510499 0.556047842557588 0.179546575125822 0.20199186421658 0.217617560790993 0.247249974770411 0.258418374073781 0.312461486040729 0.326837800116602 0.201407590124239 0.1873975169829 0.212400121371498 0.518086160272029
"hatte" 0.307470009072886 0.422198041349293 0.617513232426409 0.493160289044512 0.369763275263981 0.402855155986476 0.327355536578423 0.0938008087714178 0.178285301618108 0.582631288874892 0.309029405685536 0.437009218163196 0.183331150819633 0.624001844016003 0.329673513137692 0.401819301005403 0.297177970135162 0.373977840417516 0.437649039135924 0.357176648689564 0.444040771016248 0.200406086016402 0.196466502823753 0.254403476847517 0.248930729367037 0.275690577869074 0.471325983614848 0.327987362446116
"aus" 0.349474108673006 0.287268770402612 0.287863311356672 0.234231219675422 0.224907559181184 0.350899629916791 0.455451181326502 0.435652645182807 0.379890621591328 0.451408025614781 0.306508774317791 0.402867872994196 0.427375864573041 0.271663071933089 0.268837451838118 0.360782436221873 0.383467927609304 0.314439079754031 0.306728386402955 0.390292364462106 0.247249974770411 0.184584552909844 0.342185200490079 0.266770312527605 0.253456742628256 0.198208912193452 0.275108728633559 0.203486037109427
"um" 0.380557142377096 0.254624591947769 0.427152010400223 0.34497319088251 0.293523424694088 0.359692103559353 0.384286934244236 0.343936298828532 0.216650493105549 0.307062436028659 0.340285234645574 0.307272106520997 0.388090617968834 0.561437015328383 0.327935339957704 0.278708706654812 0.39855899640523 0.35444168457481 0.356291204937579 0.264925726180339 0.307800988999899 0.176673786356565 0.295787207203288 0.365704997968306 0.373396094050556 0.270284880263798 0.390411651663801 0.297196712094032
"nach" 0.290668369232837 0.459194776931447 0.329649921069737 0.415879920648199 0.251591506880647 0.292549577561607 0.227725590663251 0.191770542377121 0.240722770117277 0.443534629819174 0.388681356906278 0.211676340047798 0.357138605492792 0.344106557781912 0.315188736637794 0.46679433691266 0.30104747495463 0.22606123189417 0.381540187964651 0.283848992336077 0.282571399737612 0.18722147509427 0.29361230126797 0.397505432574245 0.27834981556496 0.275690577869074 0.305451603115202 0.269083509598651
"was" 0.28478779528882 0.35038084874864 0.236790788374037 0.407912872359919 0.53367895398925 0.296546156490045 0.569313976658127 0.364780922999958 0.366349965772231 0.286066713907041 0.356921401672691 0.198019801980198 0.216664087332294 0.293066829115696 0.419479127437064 0.201764585185692 0.240296249288978 0.534918552835999 0.417075793706457 0.335887974264358 0.640831567262085 0.693510534504127 0.5705503236985 0.171369008709786 0.291927855348616 0.275690577869074 0.416708809547891 0.144582184261962
"einen" 0.258745253536745 0.287268770402612 0.520011143095923 0.325055570161811 0.243967521823657 0.322124261632043 0.156561343580985 0.139658981948555 0.261786012502539 0.338556019211086 0.264162167339675 0.266302492318197 0.329757979071678 0.474175543737755 0.336046814797648 0.283838314752753 0.367216007367537 0.360953736522378 0.353485762379015 0.283848992336077 0.272479564032698 0.163489175434433 0.237064746949694 0.249103404413194 0.224037656430333 0.299115267491937 0.24274299585314 0.182066454255803
"nur" 0.334352632816963 0.213275299238302 0.246076701643607 0.506704271134587 0.362139290206991 0.25098515670586 0.284656988329063 0.308500437737108 0.342277688760503 0.265070991785424 0.325161446439104 0.122908842608399 0.482137117415269 0.39843917216853 0.264202323358151 0.263319882360988 0.275121792664193 0.219549179946601 0.226305699724131 0.238906235216198 0.408719346049046 0.437729082614772 0.330585702168381 0.416939031500097 0.181040530448754 0.162170928158279 0.635177505815718 0.37618142386677
"man" 0.225982055848651 0.184983677910773 0.190361222026186 0.270082936972681 0.141043723554302 0.314930419560856 0.170794192997438 0.204277316879977 0.209127906539385 0.480277143532005 0.335243971910084 0.116080573574599 0.329757979071678 0.304591929137099 0.273472580318086 0.653170097804528 0.316138543750556 0.526545914617696 0.210408191892271 0.596082883905762 0.232112221213039 0.242596840967223 0.304486830944562 0.261470240093281 0.144832424359003 0.243256392237418 0.479417416809952 0.219550724249645
"für" 0.190698612184549 0.267682263329706 0.306435137895812 0.383215022666252 0.202035604010216 0.208621420064425 0.185027042413891 0.164672530954267 0.209880165196001 0.270319922315828 0.234922843473833 0.122908842608399 0.429756788609659 0.411610715050134 0.359222457197485 0.15559811230422 0.315751593268609 0.341417580679672 0.294571468649179 0.364272873497966 0.262387728327783 0.311156817762308 0.226190217273103 0.393972050951363 0.43449727307701 0.574805845361011 0.457165975523415 0.293180540308977
"bei" 0.178097382304513 0.193688792165397 0.227504875104467 0.248571906594326 0.217283574124195 0.187839209636551 0.0996299459151722 0.13549005711427 0.20160531997322 0.317560297089468 0.328690330353947 0.259474223284397 0.242854251735098 0.176169386041457 0.241606072018309 0.292387661582655 0.403589352670539 0.277227354339352 0.298312058727264 0.361907465228498 0.237158139065496 0.210953774754107 0.25083915120671 0.257936858470399 0.312294915024101 0.315332360307764 0.252857287347021 0.194114969610967
"wir" 0.301589435128869 0.230685527747552 0.338935834339307 0.380824908179768 0.510806998818282 0.262175577705484 0.469684030742955 0.604494100971359 0.12637945431157 0.490775004592814 0.21122890861703 0.177534994878798 0.25713979595481 0.538386815285576 0.230597641878386 0.147048765474318 0.162519202417667 0.314439079754031 0.202927011736101 0.272021950988741 0.297709153294984 0.284787595918044 0.337835388619442 0.581241276964119 0.208196610016067 0.169378524965313 0.489531708303833 0.263728613885245
"im" 0.282267549312813 0.393906420021763 0.246076701643607 0.215110303783551 0.224907559181184 0.303739998561232 0.384286934244236 0.383541084754242 0.34077317144727 0.370049602393512 0.339276982098476 0.375554796858996 0.414280782371638 0.192633814643463 0.297227613777919 0.465084467546679 0.205083755431817 0.217688593675867 0.181418618787114 0.633929416217239 0.131193864163891 0.189858397278696 0.329860733523275 0.272070384961928 0.104098305008034 0.108113952105519 0.224537271164155 0.155291975688773
"seine" 0.222621727880641 0.263329706202394 0.408580183861083 0.209533369981755 0.198223611481721 0.368484577201915 0.0711642470822659 0.173010380622837 0.119609126402022 0.293940109702648 0.390193735726925 0.437009218163196 0.213092701277366 0.209098243245468 0.258987803818187 0.27186922919089 0.349029334716036 0.222340059352702 0.185159208865198 0.15848235405431 0.146331617721263 0.134483031405743 0.134844167989734 0.335671254173807 0.228563669691552 0.245058291439177 0.244765854151917 0.392246111006988
