"m_Arnim_Isabella-von-Aegypten_1812" "m_Diderot_Jakob_1796" "m_Hauff_Lichtenstein_1826" "m_Hoffmann_Kater-Murr_1820" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Novalis_Ofterdingen_1802" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"setzte" 0.0303651408183405 0.0541582721344858 0.0431630524271224 0.0308426049212761 0.0279760361368506 0.0328274311410905 0.024585950246977 0.0360480114452436 0.0312824143438102 0.0401132609721567 0.0411217736246362 0.015841046414266 0.0306322864298971 0.0262971578840902 0.0174034110685694
"versetzte" 0.00253042840152838 0.00216633088537943 0.000799315785687452 0.00451355193969895 0.0668695497905209 0.00764474423833614 0.00894034554435529 0.0292890092992605 0.0115251000214038 0.0047192071731949 0.013116427794065 0.00226300663060943 0.00360379840351731 0.00404571659755234 0
"darauf" 0.0430172828259824 0.0714889192175213 0.0271767367133734 0.04287874342714 0.0675518921353221 0.112872400224845 0.0290561230191547 0.0461865146642184 0.0477468429458156 0.0448324681453516 0.0404127775276597 0.031682092828532 0.0486512784474836 0.107211489835137 0.010709791426812
"desto" 0.00253042840152838 0.0292454669526223 0.0111904209996243 0.0135406558190968 0.00136468468960247 0.00719505340078696 0.024585950246977 0.0123915039343025 0.00493932858060161 0 0.0428942638670774 0.00678901989182828 0.0162170928158279 0.0364114493779711 0.0147259632118664
"weiter" 0.0328955692198689 0.0509087758064167 0.0479589471412471 0.0586761752160863 0.029340720826453 0.0661045531197302 0.0223508638608882 0.0551985175255293 0.0279895286234091 0.073147711184521 0.0584921780005601 0.0113150331530471 0.0108113952105519 0.0323657327804187 0.0187421349969209
"darüber" 0.053138996432096 0.0671562574467624 0.0135883683566867 0.0436310020837565 0.0429875677224777 0.0467678471051152 0.00670525915826647 0.0304155096569243 0.0510397286662166 0.0212364322793771 0.0326138204609184 0.0181040530448754 0.0378398832369317 0.0627086072620613 0.0120485153551635
"essen" 0.0177129988106987 0.0108316544268972 0.00719384207118706 0.00150451731323298 0.0225172973784407 0.0179876335019674 0 0.0197137562591176 0.0131715428816043 0.0283152430391694 0.00425397658185892 0.0113150331530471 0.00720759680703461 0.00202285829877617 0.00803234357010897
"worin" 0.0227738556137554 0.00541582721344858 0.00639452628549961 0.00902710387939789 0.0020470270344037 0.0103428892636313 0.00894034554435529 0.0456232644853865 0.00164644286020054 0.00235960358659745 0.00354498048488243 0.0384711127203603 0.0342360848334144 0.0627086072620613 0
"zwei" 0.0379564260229257 0.1158987023678 0.0543534734267467 0.0278335702948102 0.113268829237005 0.0836424957841484 0.0134105183165329 0.11659278701821 0.0954936858916311 0.0849457291175083 0.0482117345944011 0.0271560795673131 0.0198208912193452 0.0424800242742996 0.0481940614206538
"wovon" 0.00759128520458514 0.00216633088537943 0.00399657892843726 0.00300903462646596 0.00136468468960247 0.00269814502529511 0.00447017277217764 0.0118282537554706 0.00164644286020054 0.00235960358659745 0.00602646682430013 0.0271560795673131 0.0144151936140692 0.00606857489632851 0.0013387239283515
