"m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Clauren_Liebe-und-Irrtum_1827" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Heinse_Ardinghello_1787" "m_Hunold_Adalie_1702" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Miller_Siegwart_1776" "m_Paul_Feldprediger_1809" "m_Paul_Hesperus_1795" "m_Paul_Siebenkaes_1796" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Sade_Geschichte-der-Justine_1797" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Schnabel_Wunderliche-Fata_1731" "m_Sterne_Tristram-Shandy_1759" "m_Waiblinger_Briten-in-Rom_1828" "m_Walpole_Otranto_1764" "m_Wieland_Agathon_1794" "w_Fischer_Gustav_1801" "w_Fischer_Vierzehn-Tage_1801" "w_Huber_Ellen-Percy_1822" "w_Huber_Seldorf_1795" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"daß" 0.855284799716592 0.551118382811995 0.568008705114255 0.416187808932975 0.524494377616345 1.23750488635729 0.772883881180743 0.69972726768601 0.71313240043057 0.589321875644192 0.586343436164041 0.788107597923549 0.845121756759835 0.544840726008624 1.09892505941609 0.944853256201318 0.887627103913787 0.78962657793271 0.592262551619213 1.13130862545382 0.716520335048945 0.695214850972561 0.764796787402285 0.43729096084947 0.767159247776596 0.852298322431843 1.21776069586325 0.812605424509358
"dem" 0.913484652951745 0.830983186583712 0.818280739934712 0.962922464099617 0.685273962530514 0.445635784888591 0.761709656392588 0.634694978398189 0.69967707212056 0.802738851186121 0.791929751437696 0.464841906559698 0.503428324107611 0.481331684326637 0.633771595112981 0.592074601817813 0.724818216054926 0.808112818887657 0.676483373179743 0.633805434742203 0.418811181753961 0.539900894904223 0.695987636913289 0.816132139803219 0.640430876462468 0.762203362343911 0.625063214321837 0.445795068141048
"auf" 0.581998532351527 0.841747217498009 0.694232861806311 1.25972127690437 0.639196886366087 0.247947729938013 0.581059688984077 0.860039422674592 0.807319698600646 0.765148361175895 0.843748767890234 0.738555922605002 0.637827740950819 0.451248454056222 0.743518740596995 0.839939225099114 0.686578406095194 0.829239951407595 0.575961747446207 0.495024968092884 0.731658088606318 0.606464018933511 0.659891033378078 0.783660038750041 0.547647604607482 0.62886282141377 0.637200364114494 0.562264049907628
"als" 0.683215668412662 0.695356397063572 0.598476605005441 0.606987045736028 0.46665294158015 0.656726419835818 0.55684886860974 0.552522395809702 1.09436670254754 0.785762500858923 0.933305546324511 0.493157149598867 0.496594455454566 0.568238793996724 0.783492866435544 0.753416498253871 0.733509081954865 0.504410288913537 0.652032166920235 0.7973681275789 0.620647895852256 0.414170549515568 0.340661695863555 0.425384523796638 0.416393220032135 0.558588752545183 0.845554768888439 0.459182307424563
"ist" 0.293529694577292 0.362747841811802 0.387377584330794 0.311304017941823 0.975461506034136 0.160830959959792 0.903249837042555 0.640744493680777 0.439540724793685 0.497972942931169 0.416805132335629 0.478999528079283 0.790450807535479 0.97937627435906 0.312524983828649 0.218605730145229 0.736406037254845 0.895262240532404 0.760704194740274 0.563795645762859 0.408719346049046 0.51031728422454 0.232371885257922 0.18076136252936 0.497861458734074 0.518946970106492 0.629108930919389 0.619829178826742
"wie" 0.700928667223361 0.389657919097544 0.620239390642002 0.741997032011872 0.729390312049646 0.474674708214665 0.538225160629481 0.427499079969551 0.722102619303911 0.788187693762808 0.724902980156696 0.627654554034922 0.510262192760655 0.855700772136244 0.320519808996359 0.301784583489207 0.737564819374837 0.567791686473353 0.385785698761139 0.420678289530749 0.504591785245736 0.42896235485541 0.672299240843307 0.536872070745884 0.47523139242798 0.385606429176352 0.485485991706281 0.34940694529974
"war" 0.705989524026418 0.417644399474715 0.890097932535365 0.904901643551321 0.330382439732165 0.318311274920422 0.307291181674271 0.656372408160796 0.215285252960172 0.470487423353799 0.408356379653151 0.729117508258613 0.44192350623021 0.691914296219541 0.436081372784162 0.465007408769726 0.597352182855818 0.306343421539112 0.486307324494675 0.653011660037421 0.933494802704612 0.917091931070187 0.830221881309856 0.849686644224837 0.47296838579737 0.502729877290664 1.14898351370486 0.618490454898391
"mir" 0.232799412940611 0.305698477966029 0.776931447225245 0.323577653057809 0.339205709635991 0.249064611604401 0.927460657416892 0.50362214727545 0.565123789020452 0.168146708002732 0.217414569029126 0.922605002359604 0.483496207202898 0.41782264264465 0.51239561302139 0.623841400079835 0.274051971378082 0.380288385358897 0.559660943273201 0.226137813959828 1.09496417398325 0.776569780341691 1.27014923689524 0.171019732213407 0.819208400280613 0.798241346379084 0.805097602912916 0.641248761680366
"an" 0.478250967888864 0.556500398269144 0.639825897714907 0.670586791337045 0.488220934678392 0.531635673200424 0.623894217338672 0.687124110847285 0.538213132400431 0.620040985760076 0.599861440456007 0.438886267107126 0.491469053964783 0.534812982585152 0.494952358110023 0.523316202948042 0.382398099597323 0.610045951513231 0.423820908498153 0.351907611860773 0.504591785245736 0.458545965535094 0.571905562261001 0.553108121272473 0.563488651021747 0.558588752545183 0.519874582785476 0.518086160272029
"mich" 0.154356132493231 0.251878323394545 0.465723612622416 0.290104102741484 0.34704861621717 0.198804936616965 0.856690567091908 0.34734300247526 0.627915321133836 0.187144052416503 0.192631561160521 1.18216139688532 0.497163944508987 0.407794899221179 0.38738561948993 0.544215412330951 0.232335815058374 0.290498072149158 0.502608128667681 0.288712935082958 1.4078110808356 1.05021817912876 1.20472414298767 0.149371664844621 1.04550906334156 0.890138205668775 0.77677758673005 0.678733031674208
"eine" 0.511146537108732 0.697509203246432 0.585418933623504 0.498755899713243 0.403909688930718 0.531635673200424 0.448831362324239 0.360450285587534 0.336383207750269 0.539605421114538 0.542973172393982 0.476639924492685 0.466411535570286 0.635090416819868 0.552369738859938 0.451422922670835 0.544048205336192 0.488564939523583 0.412953705716149 0.76391212222594 0.524775456655566 0.51031728422454 0.561753392516723 0.36260512842716 0.39376315372604 0.632466619817287 0.548194598968342 0.337358429944577
"des" 0.463068397479693 0.825601171126564 0.528835690968444 0.32134608303672 0.500965657872808 0.268051599932987 0.39854735077754 0.206691772155089 0.394689630426982 0.592555466182706 0.579584434018058 0.167531854648419 0.376432264971867 0.524785239161681 0.262375625958471 0.317876974714047 0.433963903936962 0.499128505783553 0.518908932840687 0.583001871058077 0.272479564032698 0.495525478884698 0.408342827492076 0.589909835799409 0.531806558193216 0.648683712633115 0.4753717002124 0.353423117084795
"aber" 0.652850527594322 0.243267098663107 0.715995647442873 0.394987893732636 0.317637716537749 0.548388898196236 0.435794766738058 0.50362214727545 0.506817366343739 0.590534472096135 0.593102438310024 0.719679093912223 0.548987448461241 0.551525888290938 0.761688797796335 0.704930332485522 0.498855702656508 0.639095758728147 0.567811345359704 0.299245381212594 0.983953981229186 0.917091931070187 0.507608487213906 0.48275190232392 0.678901989182828 0.529758365317044 0.459188833822191 0.358778012798201
