"m_Fischer_Christian_Hannchen_1800" "m_Hauff_Bettlerin_1826" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Jacobi_Eduard-Allwill_1792" "m_Klingemann_Nachtwachen_1804" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wieland_Agathon_1794" "m_Wieland_Peregrinus_1788" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"drei" 0.0266839476994625 0.0218495657398809 0.0564722213458687 0.00832847505621721 0.0403144527313042 0.0566849604493571 0.0518190164525377 0.0559790572468183 0.0326138204609184 0.0117715574390047 0.0271192780661149 0.0294190861979226 0.0162170928158279 0.024274299585314 0.010709791426812
"oben" 0.0152479701139786 0.0163871743049107 0.0148279016941666 0.00832847505621721 0 0.0360722475586818 0.0343582609087478 0 0.00531747072732365 0.00185866696405338 0.00374059007808482 0.00452601326121886 0.00180189920175865 0.00809143319510468 0
"mensch" 0.0304959402279572 0.0218495657398809 0.0927532574060637 0.0749562755059549 0.10078613182826 0.113369920898714 0.0456232644853865 0.0197573143224064 0.0159524121819709 0.0297386714248541 0.0355356057418058 0.0226300663060943 0.00360379840351731 0.024274299585314 0.0227583067819754
"teufel" 0.0152479701139786 0.0109247828699405 0.0214531343660283 0 0.00403144527313042 0.136559222900724 0.0371745118029075 0 0.010280443406159 0.00061955565468446 0.00280544255856361 0.00452601326121886 0.00360379840351731 0 0.00401617178505449
"wasser" 0.0343079327564518 0.00273119571748511 0.0369120106003723 0.00832847505621721 0.00403144527313042 0.0103063564453377 0.0230932573321092 0 0.00957144730918256 0.00805422351089798 0.00935147519521204 0.0113150331530471 0.0108113952105519 0.00202285829877617 0.00267744785670299
"lust" 0.0114359775854839 0.00546239143497023 0.0164053380446099 0 0.0322515621850433 0.0257658911133442 0.0118282537554706 0.0164644286020054 0.00992594535767081 0.00805422351089798 0.0168326553513817 0.00452601326121886 0 0.012137149792657 0.00267744785670299
"wiewohl" 0.00762398505698929 0.00273119571748511 0.0126194908035461 0.00832847505621721 0.00403144527313042 0.00257658911133442 0.0146445046496302 0 0.000708996096976486 0.0136302244030581 0.10099593210829 0.00452601326121886 0.0180189920175865 0.0262971578840902 0.0013387239283515
"desto" 0.0266839476994625 0.0109247828699405 0.021768621636117 0.00832847505621721 0.0120943358193913 0.00515317822266883 0.0123915039343025 0.00493932858060161 0.0428942638670774 0.0898355699292467 0.0448870809370178 0.00678901989182828 0.0162170928158279 0.0364114493779711 0.0147259632118664
"herum" 0.0228719551709679 0 0.00883364356248225 0.00832847505621721 0.0282201169119129 0.0257658911133442 0.0180240057226218 0.00329288572040107 0.0141799219395297 0.00371733392810676 0.00654603263664843 0.00452601326121886 0.00540569760527596 0 0
"worauf" 0 0 0.00599425813168439 0.00832847505621721 0.00806289054626083 0.0154595346680065 0.0129547541131344 0.0131715428816043 0.00319048243639419 0.00681511220152906 0.0168326553513817 0.00226300663060943 0.00180189920175865 0.00606857489632851 0.0013387239283515
"damit" 0.0419319178134411 0.024580761457366 0.0523708868347162 0.041642375281086 0.0685345696432171 0.0850274406740357 0.0737857734269831 0.0625648286876204 0.0492752287398658 0.0247822261873784 0.0439519334174966 0.0497861458734074 0.0378398832369317 0.0384343076767472 0.0174034110685694
"erstlich" 0 0 0.000315487270088652 0 0 0 0.00957525304014284 0 0.000354498048488243 0 0 0 0 0 0
"wäre" 0.125795753440323 0.0928606543944939 0.148909991481844 0.274839676855168 0.19350937311026 0.0644147277833604 0.0681532716386637 0.12183677165484 0.107058410643449 0.109661350879149 0.117828587459672 0.169725497295707 0.142350036938934 0.113280064731466 0.108436638196471
"darin" 0.0152479701139786 0.0136559785874256 0.0119885162633688 0 0.0241886716387825 0.0438020148926851 0.0467497648430503 0.0345753000642113 0.0148889180365062 0.0210648922592717 0.0168326553513817 0.0429971259815791 0.041443681640449 0.0445028825730758 0.00669361964175748
"ungemein" 0 0.0136559785874256 0.00126194908035461 0 0.00403144527313042 0 0.00619575196715125 0 0.00177249024244122 0.00185866696405338 0.00467573759760602 0.00452601326121886 0.00180189920175865 0.00404571659755234 0
"geld" 0.0343079327564518 0.0191183700223958 0.0277628797678014 0 0.0120943358193913 0 0.0270360085839327 0.0773828144294252 0.0049629726788354 0.00061955565468446 0.00280544255856361 0.015841046414266 0.0234246896228625 0.00202285829877617 0.0281132024953814
"dergleichen" 0.00762398505698929 0.0273119571748511 0.0277628797678014 0 0.048377343277565 0.0463786040040195 0.016334255186126 0.00164644286020054 0.013116427794065 0.0105324461296358 0.0102866227147332 0 0.00720759680703461 0.0161828663902094 0.0013387239283515
"b" 0.0114359775854839 0.0136559785874256 0.0104110799129255 0 0.0120943358193913 0.0489551931153539 0.0214035067956134 0.0279895286234091 0.00106349414546473 0 0.00187029503904241 0.0248930729367037 0.0180189920175865 0.0101142914938809 0.137888564620204
"z" 0 0.00273119571748511 0.0104110799129255 0 0.00403144527313042 0.0489551931153539 0.0191505060802857 0 0.00106349414546473 0 0.00187029503904241 0 0.00720759680703461 0.0424800242742996 0
"wollt" 0.0190599626424732 0.00819358715245535 0.0265009306874468 0.041642375281086 0.00403144527313042 0.0103063564453377 0.0191505060802857 0.00164644286020054 0.00177249024244122 0.00433688958279122 0 0.0113150331530471 0.00180189920175865 0 0.00535489571340598
