"m_Arnim_Graefin-Dolores_1810" "m_Bruckbraeu_Mittheilungen_1829" "m_Cleland_Fanny-Hill_1748" "m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Engel_Lorenz-Stark_1801" "m_Fielding_Tom-Jones_1749" "m_Gellert_Graefin-von-G_1747" "m_Goethe_Lehrjahre_1795" "m_Goethe_Wahlverwandschaften_1809" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Haller_Usong_1771" "m_Hauff_Memoiren-des-Satan_1826" "m_Heine_Harzreise_1824" "m_Heinse_Hildegard_1795" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Jacobi_Woldemar_1779" "m_Klinger_Faust_1791" "m_Klinger_Geschichte-eines-Teutschen_1798" "m_Knigge_Braunschweig_1792" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Scott_Ivanhoe_1819" "m_Stendhal_Rot-und-Schwarz_1830" "m_Swift_Gullivers-Reisen_1726" "m_Tieck_William-Lovell_1795" "m_Wieland_Abderiten_1774" "m_Wieland_Aristipp_1801" "m_Zschokke_Goldmacherdorf_1817" "w_Ahlefeld_Erna_1820" "w_Ahlefeld_Marie-Mueller_1799" "w_Ehrmann_Nina_1788" "w_Fouque_Falkenstein_1810" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Spanier_1814" "w_Huber_Luise_1796" "w_Huber_Seldorf_1795" "w_La-Roche_Rosaliens-Briefe_1779" "w_Liebeskind_Maria_1784" "w_Mereau_Amanda-und-Eduard_1803" "w_Mereau_Bluethenalter_1794" "w_Pichler_Agathocles_1808" "w_Schlegel_Florentin_1801" "w_Unger_Julchen-Gruenthal_1798"
"indes" 0 0 0 0 0 0.0825680907802685 0 0.00131745709700964 0 0.0186357589153988 0.0126313662085691 0.00546978626810157 0.0101076464345277 0 0.00559058991904826 0.00554600410404304 0 0 0.0426985482493595 0 0 0.012894740235458 0 0 0.00136468468960247 0 0.0613054173812499 0.00400560785099139 0.0409849503262402 0 0.0259000259000259 0.0130315798618653 0 0 0 0.000619797574112295 0.00403238001149228 0.0190560884202503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00203963001111598
"hab" 0.0178126113288208 0.0182988525543045 0.00464295663478503 0.00138430338392962 0 0.0033473550316325 0.0609068351003835 0.0727236317549319 0 0.00880021948782723 0 0.0191442519383555 0.0404305857381109 0.00354911981828507 0.00447247193523861 0.0221840164161721 0.00987399266286391 0.0181288857133717 0.085397096498719 0.0449998269237426 0.027967247246003 0.00386842207063739 0.00787339579560664 0.00186237079802589 0.000682342344801234 0.00224845418774592 0.00232805382460442 0.0160224314039656 0.00163939801304961 0.0519214212010279 0 0.00434385995395508 0 0.000726802287973603 0.000675657414664469 0.00681777331523524 0 0.0520866416820174 0.00558175881220173 0.0100220831418194 0.00473081653893462 0.0160820542143917 0.03041718336882 0.00683480281593876 0.00152548319680259 0 0 0 0 0.0177118151431478 0.00127549393502634 0.0181382131844656 0.0125825731362064 0 0.00179565451607111 0.00611889003334795
"womit" 0.00593753710960694 0.03336849583432 0 0.0269939159866276 0.00462909385487791 0.00781049507380918 0.0586510263929619 0.0321459531670351 0.0146596858638743 0.0150121391262935 0.0126313662085691 0.00957212596917775 0.0126345580431597 0.0195201590005679 0.00335435395142895 0.0221840164161721 0.0113930684571507 0.0181288857133717 0.0426985482493595 0.0138461005919208 0.0186448314973353 0.0167631623060953 0.0131223263260111 0.0186237079802589 0.00272936937920493 0.00359752670039348 0.0496651482582277 0.052072902062888 0.0229515721826945 0.00591509861783862 0.0259000259000259 0 0.0033425811411572 0.0138092434714984 0.00945920380530256 0 0.0211699950603345 0.0025408117893667 0.0362814322793112 0.0642795677371864 0.00946163307786924 0.00178689491271018 0.00467956667212616 0.00683480281593876 0.00457644959040776 0 0.00290554086643229 0.0025438172521686 0.00324721010531785 0.0077205348059875 0.00510197574010536 0.00806142808198472 0 0.00781338788498693 0.00538696354821332 0.0132575950722539
"drei" 0.0274611091319321 0.0548965576629136 0.0325006964434952 0.160579192535836 0.0347182039115843 0.00557892505272084 0.0180464696593729 0.0210793135521542 0.0607329842931937 0.00880021948782723 0.00884195634599838 0.0280326546240206 0.0101076464345277 0.0283929585462805 0.0424884833847668 0.0388220287283013 0.0584844180800401 0.114105339490045 0 0.017307625739901 0.0233060393716692 0 0.0288691179172244 0.0148989663842071 0.0607284686873098 0.0382237211916807 0.0263846100121835 0.0280392549569397 0.0237712711892193 0.0315471926284727 0.0259000259000259 0.0390947395855958 0.0100277434234716 0.0784946471011491 0.0371611578065458 0.0656985428559033 0.129036160367753 0.00762243536810011 0.0306996734671095 0.0414706888627009 0.0425773488504116 0.00178689491271018 0.00467956667212616 0.0364522816850067 0.0137293487712233 0.0143034232859731 0.00871662259929686 0.0356134415303605 0.0119064370528321 0.042235866879814 0.0178569150903687 0.00403071404099236 0 0.0227298556654165 0.0143652361285689 0.0214161151167178
"oben" 0.00816411352570954 0.00645841854857807 0.0139288699043551 0.00969012368750735 0.00462909385487791 0.0647155306115618 0 0.010803148195479 0.00209424083769634 0.0103531993974438 0.0151576394502829 0.0246140382064571 0.00505382321726386 0 0.0156536517733351 0.0499140369363873 0.0068358410742904 0.014396468066501 0 0.0138461005919208 0.00621494383244511 0.0012894740235458 0.0104978610608089 0.00558711239407766 0.0061410811032111 0.0152894884766723 0.0139683229476265 0.0400560785099139 0.00737729105872324 0.0157735963142363 0 0.0173754398158203 0.0033425811411572 0.00799482516770963 0.00810788897597362 0.00929696361168442 0.0120971400344768 0.0152448707362002 0.00651205194756868 0.00518383610783761 0.0118270413473366 0.00714757965084073 0.00467956667212616 0 0.00152548319680259 0 0.00290554086643229 0 0.00216480673687857 0.0172576660369132 0.00255098787005268 0.00806142808198472 0 0.0021309239686328 0.00359130903214222 0.00305944501667398
"mensch" 0.0437893361833511 0.0118404340057265 0.00928591326957006 0.0193802473750147 0 0.0312419802952367 0.0360929393187458 0.0442665584595238 0.0146596858638743 0.0486600371679858 0.0353678253839935 0.0444420134283253 0.111184110779805 0.00709823963657013 0.0335435395142895 0.0610060451444734 0.0265838264000182 0.0874452134409691 0.0284656988329063 0.0242306760358614 0.0621494383244511 0.0425526427770113 0.0209957221216177 0.0614582363348543 0.020470270344037 0.0341765036537381 0.0411289509013448 0.0360504706589225 0.0360667562870914 0.0749245824926226 0 0.0108596498848877 0.033425811411572 0.0305256960948913 0.00810788897597362 0.0464848180584221 0.0131052350373499 0.10607889220606 0.0306996734671095 0.0421618670104126 0.0189232661557385 0.019655844039812 0.00467956667212616 0.0136696056318775 0.0305096639360517 0.0286068465719462 0.0464886538629166 0.0279819897738546 0.0194832606319071 0.0240699026304316 0.0318873483756585 0.0342610693484351 0.0880780119534445 0.031963859529492 0.0125695816124978 0.0275350051500658
"teufel" 0.0259767248545303 0.0129168370971561 0.00464295663478503 0.00276860676785924 0.00231454692743895 0.01338942012653 0 0.0118571138730867 0 0.00465893972884971 0 0.00136744656702539 0.00758073482589579 0 0.124111096202871 0.0110920082080861 0.00151907579428676 0.0127968605035565 0 0 0.733363372228523 0 0.0288691179172244 0.00558711239407766 0.0102351351720185 0.0283305227655987 0.00388008970767404 0.00801121570198278 0.00901668907177284 0.0460063225831893 0.012950012950013 0.00434385995395508 0.0033425811411572 0.00436081372784161 0.0243236669279209 0.021073117519818 0 0.000635202947341676 0.00186058627073391 0 0.0260194909641404 0 0 0.00227826760531292 0.00762741598401294 0.0166873271669686 0 0.0025438172521686 0 0.00136244731870368 0.0178569150903687 0 0 0 0.00359130903214222 0.00509907502778996
"wasser" 0.0244923405771286 0.0161460463714452 0.0185718265391401 0.0830582030357773 0.0185163754195116 0.0122736351159859 0.00451161741484322 0.00922219967906745 0.012565445026178 0.00931787945769942 0.0315784155214228 0.0164093588043047 0.0252691160863193 0.0283929585462805 0.00670870790285791 0.0720980533525595 0.0106335305600073 0.0314589487379096 0.0142328494164532 0.0069230502959604 0.0139836236230015 0.0012894740235458 0.0104978610608089 0.00372474159605177 0.0266113514472481 0.0125913434513772 0.0108642511814873 0.0160224314039656 0.00327879602609922 0.0197169953927954 0.0647500647500648 0.0130315798618653 0.0033425811411572 0.0174432549113665 0.0162157779519472 0.00371878544467377 0.0362914201034305 0.00825763831544178 0.0186058627073391 0.00933090499410771 0.0283848992336077 0.00178689491271018 0 0.00911307042125168 0.00610193278721035 0.0238390388099552 0 0.012719086260843 0.00974163031595354 0.0104454294433949 0.00765296361015803 0.00806142808198472 0 0.00568246391635413 0.00179565451607111 0.00611889003334795
"lust" 0.0363674147963425 0.00861122473143743 0.0232147831739252 0.0166116406071555 0.00231454692743895 0.0490945404639434 0.00451161741484322 0.00737775974325396 0.0167539267015707 0.0207063987948876 0.0189470493128537 0.0191442519383555 0.00758073482589579 0.0106473594548552 0.00782682588666756 0.0277300205202152 0.040255508548599 0.00959764537766735 0.0426985482493595 0.0276922011838416 0.0139836236230015 0.0012894740235458 0.0104978610608089 0.0130365955861812 0.0177409009648321 0.0161888701517707 0.0093122152984177 0 0.00491819403914882 0.00657233179759847 0 0.0130315798618653 0.0467961359762008 0.0196236617752873 0.00405394448798681 0.00743757088934754 0.00302428500861921 0.00508162357873341 0.00930293135366954 0.0214265225790621 0.0189232661557385 0.00714757965084073 0.00233978333606308 0.00455653521062584 0.0228822479520388 0.0238390388099552 0.0145277043321614 0.0101752690086744 0.00108240336843928 0.00363319284987647 0.00637746967513169 0.0161228561639694 0.00629128656810318 0.00781338788498693 0.0197521996767822 0.00509907502778996
"wiewohl" 0.000742192138700867 0.00215280618285936 0 0.000692151691964811 0 0 0 0.00131745709700964 0.00209424083769634 0.00310595981923314 0.00126313662085691 0.000683723283512697 0.00252691160863193 0.00177455990914253 0.00111811798380965 0 0.000759537897143378 0.0341249613428172 0 0 0 0 0 0.0223484495763106 0 0.00089938167509837 0 0 0.000819699006524804 0 0 0 0 0.0130824411835248 0.00202697224399341 0.00123959514822459 0 0 0.0865172615891267 0.0787943088391317 0.00473081653893462 0.0178689491271018 0.00701935000818924 0 0 0 0 0.0025438172521686 0.00108240336843928 0 0 0 0 0 0.00359130903214222 0.00101981500555799
